row_label_raw,row_label_full,col_0,Sản xuất và bán thức ăn chăn nuôi,Kinh doanh bất động sản và dịch vụ xây lắp,Hoạt động thương mại khác,Loại trừ,Tổng cộng,numeric__Sản xuất và bán thức ăn chăn nuôi,numeric__Kinh doanh bất động sản và dịch vụ xây lắp,numeric__Hoạt động thương mại khác,numeric__Loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,4.602.430.520.472,4.428.851.818,15.748.199.910,(3.184.183.258),4.619.423.388.942,4602430520472.0,4428851818.0,15748199910.0,-3184183258.0,4619423388942.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận kế toán trước thuế,Kết quả > Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,321.279.783.914,148.604.807.096,700.984.142,-,470.585.575.152,321279783914.0,148604807096.0,700984142.0,,470585575152.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,29.673.883.857,29.720.961.419,140.196.828,-,59.535.042.104,29673883857.0,29720961419.0,140196828.0,,59535042104.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,291.605.900.057,118.883.845.677,560.787.314,-,411.050.533.048,291605900057.0,118883845677.0,560787314.0,,411050533048.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,,4.894.502.930.862,,,,,4894502930862.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,3.154.537.478.025,734.390.443.381,1.018.982.748,-,3.889.946.904.154,3154537478025.0,734390443381.0,1018982748.0,,3889946904154.0
Tài sản không phân bổ (*),Tài sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),,,,,1.004.556.026.708,,,,,1004556026708.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,,2.688.584.663.411,,,,,2688584663411.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.563.114.480.845,124.776.666.185,693.516.381,-,2.688.584.663.411,2563114480845.0,124776666185.0,693516381.0,,2688584663411.0
