row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận tải,Đơn vị tính: VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,343.997.046.074,10.715.040.000,354.712.086.074,343997046074.0,10715040000.0,354712086074.0
Thuê thêm trong năm,Nguyên giá: > Thuê thêm trong năm,Thuê thêm trong năm,123.510.227.204,-,123.510.227.204,123510227204.0,,123510227204.0
Góp vốn vào công ty con (*),Nguyên giá: > Góp vốn vào công ty con (*),Góp vốn vào công ty con (*),(57.090.099.800),-,(57.090.099.800),-57090099800.0,,-57090099800.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,410.417.173.478,10.715.040.000,421.132.213.478,410417173478.0,10715040000.0,421132213478.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,96.573.333.101,4.241.369.991,100.814.703.092,96573333101.0,4241369991.0,100814703092.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,24.318.644.432,2.052.962.625,26.371.607.057,24318644432.0,2052962625.0,26371607057.0
Góp vốn vào công ty con (*),Giá trị khấu hao lũy kế: > Góp vốn vào công ty con (*),Góp vốn vào công ty con (*),(16.987.115.504),-,(16.987.115.504),-16987115504.0,,-16987115504.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,103.904.862.029,6.294.332.616,110.199.194.645,103904862029.0,6294332616.0,110199194645.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,247.423.712.973,6.473.670.009,253.897.382.982,247423712973.0,6473670009.0,253897382982.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,306.512.311.449,4.420.707.384,310.933.018.833,306512311449.0,4420707384.0,310933018833.0
