row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvá thiết bị,Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvá thiết bị,numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,,,,,
Số đầu năm,Nguyễn giá: > Số đầu năm,Số đầu năm,754.439.433.943,335.261.493.676,96.439.052.116,7.427.256.496,1.193.567.236.231,754439433943.0,335261493676.0,96439052116.0,7427256496.0,1193567236231.0
Mua trong năm,Nguyễn giá: > Mua trong năm,Mua trong năm,-,12.953.162.189,7.813.932.844,1.287.669.000,22.054.764.033,,12953162189.0,7813932844.0,1287669000.0,22054764033.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyễn giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,338.764.668.470,261.082.991.818,-,-,599.847.660.288,338764668470.0,261082991818.0,,,599847660288.0
"Thanh lý, nhượng bán","Nguyễn giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(522.680.737),(4.301.132.282),(849.027.834),(5.672.840.853),,-522680737.0,-4301132282.0,-849027834.0,-5672840853.0
Góp vốn vào công ty con (*),Nguyễn giá: > Góp vốn vào công ty con (*),Góp vốn vào công ty con (*),(155.341.026.538),(52.074.102.499),(4.465.389.091),(34.923.636),(211.915.441.764),-155341026538.0,-52074102499.0,-4465389091.0,-34923636.0,-211915441764.0
Giảm khác (**),Nguyễn giá: > Giảm khác (**),Giảm khác (**),(152.836.201.004),(67.815.366.403),(373.757.529),-,(221.025.324.936),-152836201004.0,-67815366403.0,-373757529.0,,-221025324936.0
Số cuối năm,Nguyễn giá: > Số cuối năm,Số cuối năm,785.026.874.871,488.885.498.044,95.112.706.058,7.830.974.026,1.376.856.052.999,785026874871.0,488885498044.0,95112706058.0,7830974026.0,1376856052999.0
Trong đó:Dã khấu hao hết,Nguyễn giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,5.598.445.574,103.831.475.282,26.261.722.377,3.682.193.959,139.373.837.192,5598445574.0,103831475282.0,26261722377.0,3682193959.0,139373837192.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,179.105.668.605,185.478.060.859,57.909.900.382,7.358.004.705,429.851.634.551,179105668605.0,185478060859.0,57909900382.0,7358004705.0,429851634551.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,24.635.495.866,16.612.105.882,7.093.274.666,282.750.563,48.623.626.977,24635495866.0,16612105882.0,7093274666.0,282750563.0,48623626977.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(522.680.737),(300.752.400),(849.027.834),(1.672.460.971),,-522680737.0,-300752400.0,-849027834.0,-1672460971.0
Góp vốn vào công ty con (*),Giá trị khấu hao lũy kế: > Góp vốn vào công ty con (*),Góp vốn vào công ty con (*),(151.780.089),(425.054.692),(1.153.039.710),(970.101),(1.730.844.592),-151780089.0,-425054692.0,-1153039710.0,-970101.0,-1730844592.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,203.589.384.382,201.142.431.312,63.549.382.938,6.790.757.333,475.071.955.965,203589384382.0,201142431312.0,63549382938.0,6790757333.0,475071955965.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,575.333.765.338,149.783.432.817,38.529.151.734,69.251.791,763.715.601.680,575333765338.0,149783432817.0,38529151734.0,69251791.0,763715601680.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,581.437.490.489,287.743.066.732,31.563.323.120,1.040.216.693,901.784.097.034,581437490489.0,287743066732.0,31563323120.0,1040216693.0,901784097034.0
Trong đó:Tải sản sử dụng để thể chấp(xem Thuyết minh số 20),Giá trị còn lại: > Trong đó:Tải sản sử dụng để thể chấp(xem Thuyết minh số 20),Trong đó:Tải sản sử dụng để thể chấp(xem Thuyết minh số 20),355.086.723.237,254.710.426.382,481.847.326,-,610.278.996.945,355086723237.0,254710426382.0,481847326.0,,610278996945.0
