row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp/cấn trừ trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp/cấn trừ trong năm,numeric__Số cuối năm
Phải nộpThuế giả trị gia tăng,Phải nộpThuế giả trị gia tăng,Phải nộpThuế giả trị gia tăng,-,83.065.915.138,(83.065.915.138),-,,83065915138.0,-83065915138.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,29.827.804.810,68.668.026.986,(45.139.483.480),53.356.348.316,29827804810.0,68668026986.0,-45139483480.0,53356348316.0
Tiền sử dụng đất,Tiền sử dụng đất,Tiền sử dụng đất,5.677.007.784,6.842.307.082,(4.655.780.366),7.863.534.500,5677007784.0,6842307082.0,-4655780366.0,7863534500.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,35.504.812.594,158.576.249.206,(132.861.178.984),61.219.882.816,35504812594.0,158576249206.0,-132861178984.0,61219882816.0
,,,Số đầu năm,Số kê khai hoàn trong năm,Số đã cán trừ trong năm,Số cuối năm,,,,
Phải thuThuế giả trị gia tăng,Phải thuThuế giả trị gia tăng,Phải thuThuế giả trị gia tăng,26.820.325.542,97.064.172.947,(83.065.915.138),40.818.583.351,26820325542.0,97064172947.0,-83065915138.0,40818583351.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,26.820.325.542,97.064.172.947,(83.065.915.138),40.818.583.351,26820325542.0,97064172947.0,-83065915138.0,40818583351.0
