row_label_raw,row_label_full,Năm trước: > Số đầu năm > - Lợi nhuận trong năm,Vốn cố phần đã phát hành > Năm trước: > 627.419.230.000 > -,Thặng dư vốn cố phần > Năm trước: > 418.333.992.221 > -,Quỹ đầu tư phát triển > Năm trước: > 679.000.557.599 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước: > 128.638.212.658 > 411.050.533.048,Đơn vị tính: VND Tổng cộng > Năm trước: > 1.853.391.992.478 > 411.050.533.048,numeric__Vốn cố phần đã phát hành > Năm trước: > 627.419.230.000 > -,numeric__Thặng dư vốn cố phần > Năm trước: > 418.333.992.221 > -,numeric__Quỹ đầu tư phát triển > Năm trước: > 679.000.557.599 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước: > 128.638.212.658 > 411.050.533.048,numeric__Đơn vị tính: VND Tổng cộng > Năm trước: > 1.853.391.992.478 > 411.050.533.048
- Trích lập quỹ,- Trích lập quỹ,- Trích lập quỹ,-,-,73.984.258.705,(73.984.258.705),-,,,73984258705.0,-73984258705.0,
"- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(21.999.991.000),(21.999.991.000),,,,-21999991000.0,-21999991000.0
- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,125.480.360.000,-,-,(125.480.360.000),-,125480360000.0,,,-125480360000.0,
- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,-,-,-,(36.524.267.075),(36.524.267.075),,,,-36524267075.0,-36524267075.0
Số cuối năm,Số cuối năm,Số cuối năm,752.899.590.000,418.333.992.221,752.984.816.304,281.699.868.926,2.205.918.267.451,752899590000.0,418333992221.0,752984816304.0,281699868926.0,2205918267451.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,752.899.590.000,418.333.992.221,752.984.816.304,281.699.868.926,2.205.918.267.451,752899590000.0,418333992221.0,752984816304.0,281699868926.0,2205918267451.0
- Lợi nhuận trong năm,Năm nay: > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,456.634.723.928,456.634.723.928,,,,456634723928.0,456634723928.0
- Trích lập quỹ (*),Năm nay: > - Trích lập quỹ (*),- Trích lập quỹ (*),-,-,304.459.728.162,(304.459.728.162),-,,,304459728162.0,-304459728162.0,
"- Trích lập quỹ khen thưởng, phúc lợi (*)","Năm nay: > - Trích lập quỹ khen thưởng, phúc lợi (*)","- Trích lập quỹ khen thưởng, phúc lợi (*)",-,-,-,(33.828.858.684),(33.828.858.684),,,,-33828858684.0,-33828858684.0
- Chia cổ tức bằng cổ phiếu (*),Năm nay: > - Chia cổ tức bằng cổ phiếu (*),- Chia cổ tức bằng cổ phiếu (*),75.285.060.000,-,-,(75.285.060.000),-,75285060000.0,,,-75285060000.0,
- Thuế thu nhập cá nhân từ chia cổ tức,Năm nay: > - Thuế thu nhập cá nhân từ chia cổ tức,- Thuế thu nhập cá nhân từ chia cổ tức,-,-,-,(1.120.712.425),(1.120.712.425),,,,-1120712425.0,-1120712425.0
- Giảm khác,Năm nay: > - Giảm khác,- Giảm khác,-,-,-,(1.680.950.246),(1.680.950.246),,,,-1680950246.0,-1680950246.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,828.184.650.000,418.333.992.221,1.057.444.544.466,321.959.283.337,2.625.922.470.024,828184650000.0,418333992221.0,1057444544466.0,321959283337.0,2625922470024.0
