row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),Số phát sinh trong năm > Phát sinh tăng,Số phát sinh trong năm > Phát sinh giảm,Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Thuyết minh,numeric__Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số phát sinh trong năm > Phát sinh tăng,numeric__Số phát sinh trong năm > Phát sinh giảm,numeric__Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ)
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,
Vay ngắn hạn ngân hàng,Vay ngắn hạn > Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,20.1,1.451.648.673.319,4.485.423.635.944,(4.016.587.495.216),1.920.484.814.047,201.0,1451648673319.0,4485423635944.0,-4016587495216.0,1920484814047.0
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,20.2,59.635.062.368,78.594.348.630,(69.602.184.139),68.627.226.859,202.0,59635062368.0,78594348630.0,-69602184139.0,68627226859.0
Nợ thuê tài chính dài hạn đến hạn trả,Vay ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,20.3,54.226.262.773,86.088.393.533,(62.679.715.920),77.634.940.386,203.0,54226262773.0,86088393533.0,-62679715920.0,77634940386.0
Vay đối tượng khác,Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,,500.000.000,751.000.000,(500.000.000),751.000.000,,500000000.0,751000000.0,-500000000.0,751000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,1.566.009.998.460,4.650.857.378.107,(4.149.369.395.275),2.067.497.981.292,,1566009998460.0,4650857378107.0,-4149369395275.0,2067497981292.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,20.2,216.510.935.981,406.632.985.445,(85.997.698.680),537.146.222.746,202.0,216510935981.0,406632985445.0,-85997698680.0,537146222746.0
Nợ thuê tài chính,Vay dài hạn > Nợ thuê tài chính,Nợ thuê tài chính,20.3,121.346.034.629,192.098.567.591,(130.834.690.642),182.609.911.578,203.0,121346034629.0,192098567591.0,-130834690642.0,182609911578.0
Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,Vay dài hạn > Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,20.4,-,94.000.000.000,-,94.000.000.000,204.0,,94000000000.0,,94000000000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,337.856.970.610,692.731.553.036,(216.832.389.322),813.756.134.324,,337856970610.0,692731553036.0,-216832389322.0,813756134324.0
