row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,139.827.535.507,131.835.143.862,139827535507.0,131835143862.0
"Nguyên liệu, vật liệu tồn kho","Nguyên liệu, vật liệu tồn kho","Nguyên liệu, vật liệu tồn kho",381.254.159.747,440.683.769.466,381254159747.0,440683769466.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",5.989.011.360,4.439.564.824,5989011360.0,4439564824.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,247.642.310.372,169.891.723.048,247642310372.0,169891723048.0
Chi phí sản xuất kinh doanh dở dang hoạt động bất động sản (*),Chi phí sản xuất kinh doanh dở dang hoạt động bất động sản (*),Chi phí sản xuất kinh doanh dở dang hoạt động bất động sản (*),238.669.958.035,158.606.471.741,238669958035.0,158606471741.0
Chi phí sản xuất kinh doanh dở dang hoạt động sản xuất thức ăn chăn nuôi,Chi phí sản xuất kinh doanh dở dang hoạt động sản xuất thức ăn chăn nuôi,Chi phí sản xuất kinh doanh dở dang hoạt động sản xuất thức ăn chăn nuôi,8.972.352.337,11.285.251.307,8972352337.0,11285251307.0
Thành phẩm,Thành phẩm,Thành phẩm,56.063.515.339,273.652.022.183,56063515339.0,273652022183.0
Thành phẩm hoạt động kinh doanh bất động sản (**),Thành phẩm hoạt động kinh doanh bất động sản (**),Thành phẩm hoạt động kinh doanh bất động sản (**),38.140.766.864,259.241.378.510,38140766864.0,259241378510.0
Thành phẩm hoạt động sản xuất thức ăn chăn nuôi,Thành phẩm hoạt động sản xuất thức ăn chăn nuôi,Thành phẩm hoạt động sản xuất thức ăn chăn nuôi,17.922.748.475,14.410.643.673,17922748475.0,14410643673.0
Hàng hóa,Hàng hóa,Hàng hóa,17.899.191.022,37.599.315.595,17899191022.0,37599315595.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,848.675.723.347,1.058.101.538.978,848675723347.0,1058101538978.0
