row_label_raw,row_label_full,Bên liên quan > Phải trả người bán (Thuyết minh số 15),Mối quan hệ > Phải trả người bán (Thuyết minh số 15),Số cuối năm > Phải trả người bán (Thuyết minh số 15),Đơn vị tính: VND > Phải trả người bán (Thuyết minh số 15),numeric__Mối quan hệ > Phải trả người bán (Thuyết minh số 15),numeric__Số cuối năm > Phải trả người bán (Thuyết minh số 15),numeric__Đơn vị tính: VND > Phải trả người bán (Thuyết minh số 15)
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,8.560.083.009,13.077.193.202,,8560083009.0,13077193202.0
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,-,8.189.093.224,,,8189093224.0
Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty con,24.047.853.699,1.537.103.417,,24047853699.0,1537103417.0
Công ty TNHH Cảng Dabaco Tân Chi,Công ty TNHH Cảng Dabaco Tân Chi,Công ty TNHH Cảng Dabaco Tân Chi,,-,895.126.913,,,895126913.0
,,,,32.607.936.708,23.698.516.756,,32607936708.0,23698516756.0
Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),,,
Công ty TNHH Nutreco,Người mua trả tiền trước (Thuyết minh số 16) > Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,82.788.737.686,96.002.671.304,,82788737686.0,96002671304.0
Công ty TNHH MTV Lợn giống Lạc Vệ,Người mua trả tiền trước (Thuyết minh số 16) > Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty con,-,13.981.578.115,,,13981578115.0
Công ty TNHH MTV Bất động sản Dabaco,Người mua trả tiền trước (Thuyết minh số 16) > Công ty TNHH MTV Bất động sản Dabaco,Công ty TNHH MTV Bất động sản Dabaco,Công ty con,11.447.934.345,6.201.351.345,,11447934345.0,6201351345.0
,,,,94.236.672.031,116.185.600.764,,94236672031.0,116185600764.0
