row_label_raw,row_label_full,col_0,Sản xuất và bán thức ăn chăn nuôi,Kinh doanh bắt động sản và dịch vụ xây lắp,Hoạt động thương mại khác,Điều chỉnh và loại trừ,Tổng cộng,numeric__Sản xuất và bán thức ăn chăn nuôi,numeric__Kinh doanh bắt động sản và dịch vụ xây lắp,numeric__Hoạt động thương mại khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,5.236.816.597.367,820.427.725.625,22.809.884.089,(873.933.045),6.079.180.274.036,5236816597367.0,820427725625.0,22809884089.0,-873933045.0,6079180274036.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận kế toán trước thuế,Kết quả > Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,487.179.557.763,332.345.367.446,756.875.610,(294.979.049.905),525.302.750.914,487179557763.0,332345367446.0,756875610.0,-294979049905.0,525302750914.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,73.076.933.664,66.469.073.489,151.375.123,(71.029.355.290),68.668.026.986,73076933664.0,66469073489.0,151375123.0,-71029355290.0,68668026986.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,414.102.624.099,265.876.293.957,605.500.487,(223.949.694.615),456.634.723.928,414102624099.0,265876293957.0,605500487.0,-223949694615.0,456634723928.0
Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,,,,,
Tổng tài sản,Tải sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,,6.399.206.844.639,,,,,6399206844639.0
Tải sản bộ phận,Tải sản và nợ phải trả > Tải sản bộ phận,Tải sản bộ phận,4.969.628.338.709,276.810.724.899,920.493.167,-,5.247.359.556.775,4969628338709.0,276810724899.0,920493167.0,,5247359556775.0
Tải sản không phân bổ (*),Tải sản và nợ phải trả > Tải sản không phân bổ (*),Tải sản không phân bổ (*),,,,,1.151.847.287.864,,,,,1151847287864.0
Tổng nợ phải trả,Tải sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,,3.773.284.374.615,,,,,3773284374615.0
Nợ phải trả bộ phận,Tải sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,3.717.900.452.104,54.554.943.848,828.978.663,-,3.773.284.374.615,3717900452104.0,54554943848.0,828978663.0,,3773284374615.0
