row_label_raw,row_label_full,Đầu tư vào các công ty con (Thuyết minh số 14.1) > Đầu tư vào công ty liên kết (Thuyết minh số 14.2),Đơn vị tính: VND > Giá trị ghi số > Số cuối năm > 575.402.443.085 > 110.000.000.000,Đơn vị tính: VND > Giá trị ghi số > Số đầu năm > 456.592.003.947 > 20.000.000.000,numeric__Đơn vị tính: VND > Giá trị ghi số > Số cuối năm > 575.402.443.085 > 110.000.000.000,numeric__Đơn vị tính: VND > Giá trị ghi số > Số đầu năm > 456.592.003.947 > 20.000.000.000
Dự phòng giảm giả đầu tư tài chính dài hạn,Dự phòng giảm giả đầu tư tài chính dài hạn,Dự phòng giảm giả đầu tư tài chính dài hạn,(131.397.488.557),(90.956.498.661),-131397488557.0,-90956498661.0
SỐ DỰ THUẦN,SỐ DỰ THUẦN,SỐ DỰ THUẦN,554.004.954.528,385.635.505.286,554004954528.0,385635505286.0
