row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng (Thuyết minh số 6.1),Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6.1),Số cuối năm > Phải thu khách hàng (Thuyết minh số 6.1),Số đầu năm > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Số đầu năm > Phải thu khách hàng (Thuyết minh số 6.1)
Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty con,765.153.786.365,361.518.412.176,,765153786365.0,361518412176.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,226.074.124.056,191.114.961.020,,226074124056.0,191114961020.0
Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty con,243.766.440.550,103.359.668.000,,243766440550.0,103359668000.0
Công ty TNHH Lợn giống hat nhân Dabaco,Công ty TNHH Lợn giống hat nhân Dabaco,Công ty TNHH Lợn giống hat nhân Dabaco,Công ty con,213.919.162.466,62.983.431.433,,213919162466.0,62983431433.0
Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,105.091.690.600,57.180.346.500,,105091690600.0,57180346500.0
Công ty Cổ phần Chế biến Thực phẩm Dabaco,Công ty Cổ phần Chế biến Thực phẩm Dabaco,Công ty Cổ phần Chế biến Thực phẩm Dabaco,Công ty con,4.894.209.088,52.623.772.048,,4894209088.0,52623772048.0
Công ty TNHH MTV Gá giống Dabaco,Công ty TNHH MTV Gá giống Dabaco,Công ty TNHH MTV Gá giống Dabaco,Công ty con,85.459.278.134,47.872.320.261,,85459278134.0,47872320261.0
Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty con,206.168.525.722,40.678.959.828,,206168525722.0,40678959828.0
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,-,15.685.007.294,,,15685007294.0
Công ty TNHH cáng Dabaco Tân Chi,Công ty TNHH cáng Dabaco Tân Chi,Công ty TNHH cáng Dabaco Tân Chi,Công ty con,44.746.333.836,-,,44746333836.0,
Công ty TNHH Lợn giống Lương Tài,Công ty TNHH Lợn giống Lương Tài,Công ty TNHH Lợn giống Lương Tài,Công ty con,23.029.095.494,-,,23029095494.0,
Công ty TNHH Lợn giống Lạc Vệ,Công ty TNHH Lợn giống Lạc Vệ,Công ty TNHH Lợn giống Lạc Vệ,Công ty con,24.268.009.054,-,,24268009054.0,
Công ty TNHH MTV Dabaco Tây Bắc,Công ty TNHH MTV Dabaco Tây Bắc,Công ty TNHH MTV Dabaco Tây Bắc,Công ty con,38.663.458.715,-,,38663458715.0,
Khách sạn Indochina,Khách sạn Indochina,Khách sạn Indochina,Công ty con,41.167.907.849,-,,41167907849.0,
Công ty Lợn giống Hải Phòng,Công ty Lợn giống Hải Phòng,Công ty Lợn giống Hải Phòng,Công ty con,54.476.143.073,-,,54476143073.0,
,,,,2.076.878.165.002,933.016.878.560,,2076878165002.0,933016878560.0
Trả trước cho người bán (Thuyết minh số 6.2),Trả trước cho người bán (Thuyết minh số 6.2),Trả trước cho người bán (Thuyết minh số 6.2),Trả trước cho người bán (Thuyết minh số 6.2),Trả trước cho người bán (Thuyết minh số 6.2),Trả trước cho người bán (Thuyết minh số 6.2),,,
Công ty TNHH MTV Dabaco Tây Bắc,Trả trước cho người bán (Thuyết minh số 6.2) > Công ty TNHH MTV Dabaco Tây Bắc,Công ty TNHH MTV Dabaco Tây Bắc,Công ty con,-,22.866.799.744,,,22866799744.0
,,,,-,22.866.799.744,,,22866799744.0
Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),Trả trước cho người bán (Thuyết minh số 6.2) > Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),10.000.000.000,-,,10000000000.0,
,,,,10.000.000.000,-,,10000000000.0,
