row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,2.196.650.472.930,2.196.650.472.930,1.169.127.774.507,1.169.127.774.507,2196650472930.0,2196650472930.0,1169127774507.0,1169127774507.0
Tổng Công ty Lắp máy Việt Nam - CTCP,Tổng Công ty Lắp máy Việt Nam - CTCP,Tổng Công ty Lắp máy Việt Nam - CTCP,728.485.049.095,728.485.049.095,303.435.720.000,303.435.720.000,728485049095.0,728485049095.0,303435720000.0,303435720000.0
Tập đoàn Samsung C&T (i),Tập đoàn Samsung C&T (i),Tập đoàn Samsung C&T (i),729.131.176.221,729.131.176.221,-,-,729131176221.0,729131176221.0,,
Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,262.131.657.272,262.131.657.272,207.651.863.834,207.651.863.834,262131657272.0,262131657272.0,207651863834.0,207651863834.0
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,93.962.315.579,93.962.315.579,60.727.069.373,60.727.069.373,93962315579.0,93962315579.0,60727069373.0,60727069373.0
Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,15.442.236.395,15.442.236.395,15.437.206.988,15.437.206.988,15442236395.0,15442236395.0,15437206988.0,15437206988.0
Công ty Cổ phần Khoáng sản Đan Ka,Công ty Cổ phần Khoáng sản Đan Ka,Công ty Cổ phần Khoáng sản Đan Ka,-,-,85.301.097.331,85.301.097.331,,,85301097331.0,85301097331.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,367.498.038.368,367.498.038.368,496.574.816.981,496.574.816.981,367498038368.0,367498038368.0,496574816981.0,496574816981.0
b. Phải trả người bán là các bên liên quan (Chỉ tiết tại Thuyết minh số 36),b. Phải trả người bán là các bên liên quan (Chỉ tiết tại Thuyết minh số 36),b. Phải trả người bán là các bên liên quan (Chỉ tiết tại Thuyết minh số 36),12.024.583.586.950,12.024.583.586.950,5.411.378.369.581,5.411.378.369.581,12024583586950.0,12024583586950.0,5411378369581.0,5411378369581.0
Tập đoàn Dầu khí Việt Nam (i),Tập đoàn Dầu khí Việt Nam (i),Tập đoàn Dầu khí Việt Nam (i),10.956.198.960.603,10.956.198.960.603,4.373.551.218.808,4.373.551.218.808,10956198960603.0,10956198960603.0,4373551218808.0,4373551218808.0
Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,993.917.355.766,993.917.355.766,756.694.608.810,756.694.608.810,993917355766.0,993917355766.0,756694608810.0,756694608810.0
Công ty Cổ phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam,69.396.298.020,69.396.298.020,262.262.367.614,262.262.367.614,69396298020.0,69396298020.0,262262367614.0,262262367614.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,5.070.972.561,5.070.972.561,18.870.174.349,18.870.174.349,5070972561.0,5070972561.0,18870174349.0,18870174349.0
,,,14.221.234.059.880,14.221.234.059.880,6.580.506.144.088,6.580.506.144.088,14221234059880.0,14221234059880.0,6580506144088.0,6580506144088.0
