row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,6.395.892.594.086,38.266.452.329.732,248.950.878.541,191.261.420.247,2.136.385.254.664,47.238.942.477.270,6395892594086.0,38266452329732.0,248950878541.0,191261420247.0,2136385254664.0,47238942477270.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,82.210.111,2.061.141.400,3.409.320.852,2.639.419.200,-,8.192.091.563,82210111.0,2061141400.0,3409320852.0,2639419200.0,,8192091563.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,2.400.955.977,5.704.449.973,-,1.463.202.238,-,9.568.608.188,2400955977.0,5704449973.0,,1463202238.0,,9568608188.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(826.863.976),826.863.976,-,-,-,-,-826863976.0,826863976.0,,,,
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(194.089.303),-,(263.600.000),-,(457.689.303),,-194089303.0,,-263600000.0,,-457689303.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,(16.309.124),-,-,-,(16.309.124),,-16309124.0,,,,-16309124.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.397.548.896.198,38.274.834.386.654,252.360.199.393,195.100.441.685,2.136.385.254.664,47.256.229.178.594,6397548896198.0,38274834386654.0,252360199393.0,195100441685.0,2136385254664.0,47256229178594.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,2.863.211.558.919,23.823.604.362.301,202.198.073.355,129.063.932.576,623.456.836.425,27.641.534.763.576,2863211558919.0,23823604362301.0,202198073355.0,129063932576.0,623456836425.0,27641534763576.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,281.148.211.693,1.210.179.015.973,9.492.143.031,17.025.206.841,89.629.082.404,1.607.473.659.942,281148211693.0,1210179015973.0,9492143031.0,17025206841.0,89629082404.0,1607473659942.0
Trích khấu hao vào xây dựng dở dang,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao vào xây dựng dở dang,Trích khấu hao vào xây dựng dở dang,-,-,731.499.686,477.013.293,-,1.208.512.979,,,731499686.0,477013293.0,,1208512979.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(194.089.303),-,(263.600.000),-,(457.689.303),,-194089303.0,,-263600000.0,,-457689303.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.144.359.770.612,25.033.589.288.971,212.421.716.072,146.302.552.710,713.085.918.829,29.249.759.247.194,3144359770612.0,25033589288971.0,212421716072.0,146302552710.0,713085918829.0,29249759247194.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,3.532.681.035.167,14.442.847.967.431,46.752.805.186,62.197.487.671,1.512.928.418.239,19.597.407.713.694,3532681035167.0,14442847967431.0,46752805186.0,62197487671.0,1512928418239.0,19597407713694.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,3.253.189.125.586,13.241.245.097.683,39.938.483.321,48.797.888.975,1.423.299.335.835,18.006.469.931.400,3253189125586.0,13241245097683.0,39938483321.0,48797888975.0,1423299335835.0,18006469931400.0
