row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,30.136.862.980.367,18.226.258.197.052,,300.0,,30136862980367.0,18226258197052.0
I.,I.,I.,Nợ ngắn hạn,310,,22.220.406.460.245,14.979.682.684.372,,310.0,,22220406460245.0,14979682684372.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,16,14.221.234.059.880,6.580.506.144.088,,311.0,16.0,14221234059880.0,6580506144088.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,3.000.000,1.964.903.000,,312.0,,3000000.0,1964903000.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,17,86.773.182.806,48.682.993.941,,313.0,17.0,86773182806.0,48682993941.0
4.,4.,4.,Phải trả người lao động,314,,198.307.931.710,146.193.228.163,,314.0,,198307931710.0,146193228163.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,18,252.191.793.057,715.518.671.569,,315.0,18.0,252191793057.0,715518671569.0
6.,6.,6.,Phải trả ngắn hạn khác,319,19,2.669.192.057.002,2.616.641.106.813,,319.0,19.0,2669192057002.0,2616641106813.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,20,4.007.250.002.308,4.609.184.601.845,,320.0,20.0,4007250002308.0,4609184601845.0
8.,8.,8.,Dự phòng phải trả ngắn hạn,321,22,717.763.186.091,205.455.087.777,,321.0,22.0,717763186091.0,205455087777.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,67.691.247.391,55.535.947.176,,322.0,,67691247391.0,55535947176.0
II.,II.,II.,Nợ dài hạn,330,,7.916.456.520.122,3.246.575.512.680,,330.0,,7916456520122.0,3246575512680.0
1.,1.,1.,Phải trả dài hạn khác,337,,28.155.441,28.155.441,,337.0,,28155441.0,28155441.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,20,5.634.916.546.107,1.395.364.512.376,,338.0,20.0,5634916546107.0,1395364512376.0
3.,3.,3.,Dự phòng phải trả dài hạn,342,22,2.163.968.976.771,1.733.363.603.060,,342.0,22.0,2163968976771.0,1733363603060.0
4.,4.,4.,Quỹ phát triển khoa học và công nghệ,343,,117.542.841.803,117.819.241.803,,343.0,,117542841803.0,117819241803.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,28.971.028.912.485,27.880.543.773.286,,400.0,,28971028912485.0,27880543773286.0
I.,I.,I.,Vốn chủ sở hữu,410,23,28.971.028.912.485,27.880.543.773.286,,410.0,23.0,28971028912485.0,27880543773286.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,23.418.716.000.000,23.418.716.000.000,,411.0,,23418716000000.0,23418716000000.0
,,,- Có phiếu phố thông có quyền biểu quyết,411a,,23.418.716.000.000,23.418.716.000.000,,,,23418716000000.0,23418716000000.0
2.,2.,2.,Quỹ đầu tư phát triển,418,,3.784.259.327.991,3.493.872.851.437,,418.0,,3784259327991.0,3493872851437.0
3.,3.,3.,Lợi nhuận sau thuê chưa phân phối,421,,1.768.053.584.494,967.954.921.849,,421.0,,1768053584494.0,967954921849.0
,,,- Lợi nhuận sau thuê chưa phân phối lũy kế đến cuối nằm trước,421a,,567.963.588.192,-,,,,567963588192.0,
,,,- Lợi nhuận sau thuê chưa phân phối năm 421b nay,,,1.200.089.996.302,967.954.921.849,,,,1200089996302.0,967954921849.0
