row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > VND Dự phòng,Số cuối năm > Giá gốc_1,Số đầu năm > Giá trị hợp lý,Số đầu năm > VND Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > VND Dự phòng,numeric__Số cuối năm > Giá gốc_1,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > VND Dự phòng
b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,,,,,,
Công ty Cổ phần Thủy điện Hủa Na (ii),b1. Đầu tư vào công ty con > Công ty Cổ phần Thủy điện Hủa Na (ii),Công ty Cổ phần Thủy điện Hủa Na (ii),1.898.727.600.000,3.512.646.060.000,-,1.898.727.600.000,3.227.836.920.000,-,1898727600000.0,3512646060000.0,,1898727600000.0,3227836920000.0,
Công ty Cổ phần Điện lực Dầu khí,b1. Đầu tư vào công ty con > Công ty Cổ phần Điện lực Dầu khí,Công ty Cổ phần Điện lực Dầu khí,1.883.540.039.397,4.187.688.960.000,-,1.883.540.039.397,4.931.217.408.000,-,1883540039397.0,4187688960000.0,,1883540039397.0,4931217408000.0,
Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),,,,,,
Công ty Cổ phần Thủy điện Đakđrinh (iii),Nhơn Trạch 2 (i) (iv) > Công ty Cổ phần Thủy điện Đakđrinh (iii),Công ty Cổ phần Thủy điện Đakđrinh (iii),1.105.110.800.000,,-,1.105.110.800.000,,-,1105110800000.0,,,1105110800000.0,,
Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam (i),Nhơn Trạch 2 (i) (iv) > Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam (i),Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam (i),76.500.000.000,81.090.000.000,-,76.500.000.000,76.500.000.000,-,76500000000.0,81090000000.0,,76500000000.0,76500000000.0,
Công ty Cổ phần Năng lượng tái tạo Điện lực Dầu khí (iii),Nhơn Trạch 2 (i) (iv) > Công ty Cổ phần Năng lượng tái tạo Điện lực Dầu khí (iii),Công ty Cổ phần Năng lượng tái tạo Điện lực Dầu khí (iii),94.860.000.000,,14.981.323.870,30.600.000.000,,13.038.405.571,94860000000.0,,14981323870.0,30600000000.0,,13038405571.0
,,,5.058.738.439.397,,14.981.323.870,4.994.478.439.397,,13.038.405.571,5058738439397.0,,14981323870.0,4994478439397.0,,13038405571.0
b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,,,,,,
Công ty Cổ phần Thủy điện Nậm Chiến (iii),b2. Đầu tư vào công ty liên kết > Công ty Cổ phần Thủy điện Nậm Chiến (iii),Công ty Cổ phần Thủy điện Nậm Chiến (iii),302.295.301.000,,-,302.295.301.000,,-,302295301000.0,,,302295301000.0,,
