row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối (i),Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối (i),numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
Số dư tại ngày 01 tháng 01 năm 2022,Số dư tại ngày 01 tháng 01 năm 2022,Số dư tại ngày 01 tháng 01 năm 2022,23.418.716.000.000,2.056.973.397.198,1.584.470.291.627,27.060.159.688.825,23418716000000.0,2056973397198.0,1584470291627.0,27060159688825.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,967.954.921.849,967.954.921.849,,,967954921849.0,967954921849.0
Trích quỹ đầu tư phát triển từ lợi nhuận năm 2021,Trích quỹ đầu tư phát triển từ lợi nhuận năm 2021,Trích quỹ đầu tư phát triển từ lợi nhuận năm 2021,-,1.436.899.454.239,(1.436.899.454.239),-,,1436899454239.0,-1436899454239.0,
"Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021",-,-,(147.570.837.388),(147.570.837.388),,,-147570837388.0,-147570837388.0
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,23.418.716.000.000,3.493.872.851.437,967.954.921.849,27.880.543.773.286,23418716000000.0,3493872851437.0,967954921849.0,27880543773286.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,1.200.089.996.302,1.200.089.996.302,,,1200089996302.0,1200089996302.0
Trích quỹ đầu tư phát triển từ lợi nhuận năm 2022 (ii),Trích quỹ đầu tư phát triển từ lợi nhuận năm 2022 (ii),Trích quỹ đầu tư phát triển từ lợi nhuận năm 2022 (ii),-,290.386.476.554,(290.386.476.554),-,,290386476554.0,-290386476554.0,
"Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2022 (ii)","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2022 (ii)","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2022 (ii)",-,-,(109.604.857.103),(109.604.857.103),,,-109604857103.0,-109604857103.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,23.418.716.000.000,3.784.259.327.991,1.768.053.584.494,28.971.028.912.485,23418716000000.0,3784259327991.0,1768053584494.0,28971028912485.0
