row_label_raw,row_label_full,(Triệu VND),Chưa quá hạn và chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP_1,Đã quá hạn nhưng chưa phải TLDP_2,Đã quá hạn nhưng chưa phải TLDP_3,Quá hạn và đã được TLDP,Tổng cộng,numeric__Chưa quá hạn và chưa phải TLDP,numeric__Đã quá hạn nhưng chưa phải TLDP,numeric__Đã quá hạn nhưng chưa phải TLDP_1,numeric__Đã quá hạn nhưng chưa phải TLDP_2,numeric__Đã quá hạn nhưng chưa phải TLDP_3,numeric__Quá hạn và đã được TLDP,numeric__Tổng cộng
(Triệu VND),(Triệu VND),(Triệu VND),Chưa quá hạn và chưa phải TLDP,Quá hạn từ 10 đến 90 ngày,Quá hạn từ 91 đến 180 ngày,Quá hạn từ 181 đến 360 ngày,Quá hạn trên 360 ngày,Quá hạn và đã được TLDP,Tổng cộng,,,,,,,
Tiền gửi tại Ngân hàng Nhà nước,(Triệu VND) > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,15.145.862,-,-,-,-,-,15.145.862,15145862.0,,,,,,15145862.0
Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,(Triệu VND) > Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,63.008.862,-,-,-,-,-,63.008.862,63008862.0,,,,,,63008862.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,(Triệu VND) > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,269.772,-,-,-,-,-,269.772,269772.0,,,,,,269772.0
Cho vay khách hàng - thuần,(Triệu VND) > Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,359.454.055,1.063.446,94.711,126.546,1.301.521,16.535.164,378.575.443,359454055.0,1063446.0,94711.0,126546.0,1301521.0,16535164.0,378575443.0
Chứng khoán đầu tư - thuần,(Triệu VND) > Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,32.925.782,-,-,-,-,-,32.925.782,32925782.0,,,,,,32925782.0
Tài sản tài chính khác - thuần,(Triệu VND) > Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,52.305.466,-,-,-,-,-,52.305.466,52305466.0,,,,,,52305466.0
,,,523.109.799,1.063.446,94.711,126.546,1.301.521,16.535.164,542.231.187,523109799.0,1063446.0,94711.0,126546.0,1301521.0,16535164.0,542231187.0
Tại ngày 31 tháng 12 năm 2021 (Triệu VND),Tại ngày 31 tháng 12 năm 2021 (Triệu VND),Tại ngày 31 tháng 12 năm 2021 (Triệu VND),Chưa quá hạn và chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Quá hạn và đã được TLDP,Tổng cộng,,,,,,,
Tại ngày 31 tháng 12 năm 2021 (Triệu VND),Tại ngày 31 tháng 12 năm 2021 (Triệu VND),Tại ngày 31 tháng 12 năm 2021 (Triệu VND),Chưa quá hạn và chưa phải TLDP,Quá hạn từ 10 đến 90 ngày,Quá hạn từ 91 đến 180 ngày,Quá hạn từ 181 đến 360 ngày,Quá hạn trên 360 ngày,Quá hạn và đã được TLDP,Tổng cộng,,,,,,,
Tiền gửi tại Ngân hàng Nhà nước,Tại ngày 31 tháng 12 năm 2021 (Triệu VND) > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,14.352.057,-,-,-,-,-,14.352.057,14352057.0,,,,,,14352057.0
Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,Tại ngày 31 tháng 12 năm 2021 (Triệu VND) > Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,64.131.782,-,-,-,-,-,64.131.782,64131782.0,,,,,,64131782.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tại ngày 31 tháng 12 năm 2021 (Triệu VND) > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,252.448,-,-,-,-,-,252.448,252448.0,,,,,,252448.0
Cho vay khách hàng - thuần,Tại ngày 31 tháng 12 năm 2021 (Triệu VND) > Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,347.941.085,302.638,131.200,84.587,516.748,8.802.350,357.778.608,347941085.0,302638.0,131200.0,84587.0,516748.0,8802350.0,357778608.0
Chứng khoán đầu tư - thuần,Tại ngày 31 tháng 12 năm 2021 (Triệu VND) > Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,25.075.524,-,-,-,-,-,25.075.524,25075524.0,,,,,,25075524.0
Tài sản tài chính khác - thuần,Tại ngày 31 tháng 12 năm 2021 (Triệu VND) > Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,36.743.262,-,-,-,-,-,36.743.262,36743262.0,,,,,,36743262.0
,,,488.496.158,302.638,131.200,84.587,516.748,8.802.350,498.333.681,488496158.0,302638.0,131200.0,84587.0,516748.0,8802350.0,498333681.0
