row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2022,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Nước ngoàiTriệu VND,Tổng cộngTriệu VND,numeric__Miền BắcTriệu VND,numeric__Miền TrungTriệu VND,numeric__Miền NamTriệu VND,numeric__Nước ngoàiTriệu VND,numeric__Tổng cộngTriệu VND
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,13.224.667,2.935.923,793.811,595.683,17.550.084,13224667.0,2935923.0,793811.0,595683.0,17550084.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,689.285,144.727,35.590,20.952,890.554,689285.0,144727.0,35590.0,20952.0,890554.0
Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối,Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối,Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối,91.745,33.628,5.587,(14.710),116.250,91745.0,33628.0,5587.0,-14710.0,116250.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,73.989,15.615,3.037,-,92.641,73989.0,15615.0,3037.0,,92641.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,541.953,52.401,88.704,4.169,687.227,541953.0,52401.0,88704.0,4169.0,687227.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",4.226,-,-,-,4.226,4226.0,,,,4226.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(3.212.666),(700.986),(323.110),(154.831),(4.391.593),-3212666.0,-700986.0,-323110.0,-154831.0,-4391593.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,11.413.199,2.481.308,603.619,451.263,14.949.389,11413199.0,2481308.0,603619.0,451263.0,14949389.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(4.580.757),(524.279),23.693,(178.678),(5.260.021),-4580757.0,-524279.0,23693.0,-178678.0,-5260021.0
Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,6.832.442,1.957.029,627.312,272.585,9.689.368,6832442.0,1957029.0,627312.0,272585.0,9689368.0
