row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022(Triệu VND),Quá hạn,Khônghương lãi,Dưới1 tháng,Từ 1 đến3 tháng,Từ 3 đến6 tháng,Từ 6 đến12 tháng,Từ 1 đến5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn,numeric__Khônghương lãi,numeric__Dưới1 tháng,numeric__Từ 1 đến3 tháng,numeric__Từ 3 đến6 tháng,numeric__Từ 6 đến12 tháng,numeric__Từ 1 đến5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản cố định,Tiền gửi tại Ngân hàng > Tài sản cố định,Tài sản cố định,-,4.954.396,-,-,-,-,-,-,4.954.396,,4954396.0,,,,,,,4954396.0
Tài sản Có khác - gộp,Tiền gửi tại Ngân hàng > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,37.141.988,2.126.557,4.165.048,8.632.983,2.109.656,-,-,54.176.232,,37141988.0,2126557.0,4165048.0,8632983.0,2109656.0,,,54176232.0
,,,17.588.643,44.455.308,183.970.274,239.177.968,30.834.617,11.528.316,11.819.568,19.025.415,558.400.109,17588643.0,44455308.0,183970274.0,239177968.0,30834617.0,11528316.0,11819568.0,19025415.0,558400109.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ vàNgân hàng Nhà nước Việt Nam,Nợ phải trả > Các khoản nợ Chính phủ vàNgân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ vàNgân hàng Nhà nước Việt Nam,-,-,8.142.298,169.895,157.904,1.245.096,-,-,9.715.193,,,8142298.0,169895.0,157904.0,1245096.0,,,9715193.0
Tiền gửi và vay các tổ chức tíndụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tíndụng khác,Tiền gửi và vay các tổ chức tíndụng khác,-,-,54.125.594,8.374.793,12.451.986,2.676.360,653.143,2.060,78.283.936,,,54125594.0,8374793.0,12451986.0,2676360.0,653143.0,2060.0,78283936.0
"Tiền gửi của khách hàngVốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro","Nợ phải trả > Tiền gửi của khách hàngVốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro","Tiền gửi của khách hàngVốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro",-,-,77.182.303,56.801.191,112.894.402,96.812.326,17.983.086,2.285,361.675.593,,,77182303.0,56801191.0,112894402.0,96812326.0,17983086.0,2285.0,361675593.0
"Tiền gửi của khách hàngVốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro","Nợ phải trả > Tiền gửi của khách hàngVốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro","Tiền gửi của khách hàngVốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro",-,-,4.447,44.064,99.966,406.844,641.174,419.110,1.615.605,,,4447.0,44064.0,99966.0,406844.0,641174.0,419110.0,1615605.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,2.502.905,10.212.491,6.808.818,15.461.824,1.454.170,-,36.440.208,,,2502905.0,10212491.0,6808818.0,15461824.0,1454170.0,,36440208.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,20.269.114,-,-,-,-,-,-,20.269.114,,20269114.0,,,,,,,20269114.0
,,,-,20.269.114,141.957.547,75.602.434,132.413.076,116.602.450,20.731.573,423.455,507.999.649,,20269114.0,141957547.0,75602434.0,132413076.0,116602450.0,20731573.0,423455.0,507999649.0
Mức chênh nhạy cảmvới lãi suất,Nợ phải trả > Mức chênh nhạy cảmvới lãi suất,Mức chênh nhạy cảmvới lãi suất,17.588.643,24.186.194,42.012.727,163.575.534,(101.578.459),(105.074.134),(8.912.005),18.601.960,50.400.460,17588643.0,24186194.0,42012727.0,163575534.0,-101578459.0,-105074134.0,-8912005.0,18601960.0,50400460.0
