row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2022,Tín dụngTriệu VND,Đầu tưTriệu VND,Dịch vụTriệu VND,Kinh doanh vàhuy động vốnTriệu VND,Tổng cộngTriệu VND,numeric__Tín dụngTriệu VND,numeric__Đầu tưTriệu VND,numeric__Dịch vụTriệu VND,numeric__Kinh doanh vàhuy động vốnTriệu VND,numeric__Tổng cộngTriệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,38.622.024,1.791.079,-,360.567,40.773.670,38622024.0,1791079.0,,360567.0,40773670.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,-,-,236.217,1.005.652,1.241.869,,,236217.0,1005652.0,1241869.0
Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,-,116.250,-,-,116.250,,116250.0,,,116250.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,-,92.641,-,-,92.641,,92641.0,,,92641.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,-,-,807.767,-,807.767,,,807767.0,,807767.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",-,4.226,-,-,4.226,,4226.0,,,4226.0
,,,38.622.024,2.004.196,1.043.984,1.366.219,43.036.423,38622024.0,2004196.0,1043984.0,1366219.0,43036423.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,,,,,
Tài sản bộ phận,Tại ngày 31 tháng 12 năm 2022 > Tài sản bộ phận,Tài sản bộ phận,403.058.542,33.942.595,220.815,69.978.541,507.200.493,403058542.0,33942595.0,220815.0,69978541.0,507200493.0
Tài sản phân bổ,Tại ngày 31 tháng 12 năm 2022 > Tài sản phân bổ,Tài sản phân bổ,28.808.177,67.987,14.604.959,222.504,43.703.627,28808177.0,67987.0,14604959.0,222504.0,43703627.0
Tổng tài sản,Tại ngày 31 tháng 12 năm 2022 > Tổng tài sản,Tổng tài sản,431.866.719,34.010.582,14.825.774,70.201.045,550.904.120,431866719.0,34010582.0,14825774.0,70201045.0,550904120.0
Nợ phải trả bộ phận,Tại ngày 31 tháng 12 năm 2022 > Nợ phải trả bộ phận,Nợ phải trả bộ phận,(1.250.979),-,(130.469),(495.532.728),(496.914.176),-1250979.0,,-130469.0,-495532728.0,-496914176.0
Nợ phân bổ,Tại ngày 31 tháng 12 năm 2022 > Nợ phân bổ,Nợ phân bổ,(7.307.226),(17.245),(3.704.564),(56.438),(11.085.473),-7307226.0,-17245.0,-3704564.0,-56438.0,-11085473.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2022 > Tổng nợ phải trả,Tổng nợ phải trả,(8.558.205),(17.245),(3.835.033),(495.589.166),(507.999.649),-8558205.0,-17245.0,-3835033.0,-495589166.0,-507999649.0
