row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2022Triệu VND,31/12/2021Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2022Triệu VND,numeric__31/12/2021Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮUNỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam (“NHNNVN”),18,9.715.193,1.510.983,,18.0,9715193.0,1510983.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNNVN",,9.715.193,1.510.983,,,9715193.0,1510983.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,19,78.283.936,79.732.550,,19.0,78283936.0,79732550.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,72.871.039,74.428.582,,,72871039.0,74428582.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,5.412.897,5.303.968,,,5412897.0,5303968.0
III,B > III,III,Tiền gửi của khách hàng,20,361.675.593,327.196.828,,20.0,361675593.0,327196828.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",21,1.615.605,4.952.170,,21.0,1615605.0,4952170.0
VI,B > VI,VI,Phát hành giấy tờ có giá,22,36.440.208,46.292.114,,22.0,36440208.0,46292114.0
VII,B > VII,VII,Các khoản nợ khác,23,20.269.114,11.388.018,,23.0,20269114.0,11388018.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,9.069.320,7.687.455,,,9069320.0,7687455.0
2,B > 2,2,Thuế thu nhập hoãn lại phải trả,,30.233,31.026,,,30233.0,31026.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,11.169.561,3.669.537,,,11169561.0,3669537.0
,,,TỔNG NỘ PHẢI TRẢ,,507.999.649,471.072.663,,,507999649.0,471072663.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn và các quỹ,24,42.904.471,35.531.665,,24.0,42904471.0,35531665.0
1,B > 1,1,Vốn,,32.118.175,28.118.041,,,32118175.0,28118041.0
a,B > a,a,Vốn điều lệ,25,30.673.832,26.673.698,,25.0,30673832.0,26673698.0
c,B > c,c,Thặng dư vốn cổ phần,,1.449.603,1.449.603,,,1449603.0,1449603.0
d,B > d,d,Cổ phiếu quỹ,,(5.260),(5.260),,,-5260.0,-5260.0
2,B > 2,2,Các quỹ của tổ chức tín dụng,,4.061.834,2.923.272,,,4061834.0,2923272.0
3,B > 3,3,Chênh lệch tỷ giá hối đoái,,(606.344),(293.665),,,-606344.0,-293665.0
5,B > 5,5,Lợi nhuận chưa phân phối,,7.330.806,4.784.017,,,7330806.0,4784017.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,42.904.471,35.531.665,,,42904471.0,35531665.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,550.904.120,506.604.328,,,550904120.0,506604328.0
