row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022(Triệu VND),Quá hạn > Trên 3 tháng,Quá hạn > Dưới3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 đến3 tháng,Trong hạn > Từ 3 đến12 tháng,Trong hạn > Từ 1 đến5 năm,Trong hạn > Trên 5 năm,Tổng cộng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Dưới3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 đến3 tháng,numeric__Trong hạn > Từ 3 đến12 tháng,numeric__Trong hạn > Từ 1 đến5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.897.545,-,-,-,-,1.897.545,,,1897545.0,,,,,1897545.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,15.144.720,1.142,-,-,-,15.145.862,,,15144720.0,1142.0,,,,15145862.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,-,55.962.307,1.445.146,5.601.409,99.794,-,63.108.656,,,55962307.0,1445146.0,5601409.0,99794.0,,63108656.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,3.881,-,-,-,-,3.881,,,3881.0,,,,,3881.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,(62.604),(21.559),353.935,-,-,269.772,,,-62604.0,-21559.0,353935.0,,,269772.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,10.852.955,6.735.688,28.017.427,53.599.823,100.609.779,85.464.358,100.353.185,385.633.215,10852955.0,6735688.0,28017427.0,53599823.0,100609779.0,85464358.0,100353185.0,385633215.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,300.000,-,3.766.039,6.030.972,22.955.267,33.052.278,,,300000.0,,3766039.0,6030972.0,22955267.0,33052278.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,158.272,158.272,,,,,,,158272.0,158272.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,1.671.052,7,4.276,95.883,3.183.178,4.954.396,,,1671052.0,7.0,4276.0,95883.0,3183178.0,4954396.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,-,38.859.515,3.933.005,11.160.626,223.086,-,54.176.232,,,38859515.0,3933005.0,11160626.0,223086.0,,54176232.0
,,,10.852.955,6.735.688,141.793.843,58.957.564,121.496.064,91.914.093,126.649.902,558.400.109,10852955.0,6735688.0,141793843.0,58957564.0,121496064.0,91914093.0,126649902.0,558400109.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,-,8.142.298,169.895,1.403.000,-,-,9.715.193,,,8142298.0,169895.0,1403000.0,,,9715193.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,54.358.364,8.142.023,12.190.846,3.590.643,2.060,78.283.936,,,54358364.0,8142023.0,12190846.0,3590643.0,2060.0,78283936.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,79.174.625,54.808.869,209.706.728,17.983.086,2.285,361.675.593,,,79174625.0,54808869.0,209706728.0,17983086.0,2285.0,361675593.0
"Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,71.587,44.064,305.368,775.476,419.110,1.615.605,,,71587.0,44064.0,305368.0,775476.0,419110.0,1615605.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,9.567,5.410.975,8.840.989,8.916.850,13.261.827,36.440.208,,,9567.0,5410975.0,8840989.0,8916850.0,13261827.0,36440208.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,20.269.114,-,-,-,-,20.269.114,,,20269114.0,,,,,20269114.0
,,,-,-,162.025.555,68.575.826,232.446.931,31.266.055,13.685.282,507.999.649,,,162025555.0,68575826.0,232446931.0,31266055.0,13685282.0,507999649.0
Mức chênh thanh khoản thuần,Nợ phải trả > Mức chênh thanh khoản thuần,Mức chênh thanh khoản thuần,10.852.955,6.735.688,(20.231.712),(9.618.262),(110.950.867),60.648.038,112.964.620,50.400.460,10852955.0,6735688.0,-20231712.0,-9618262.0,-110950867.0,60648038.0,112964620.0,50400460.0
