row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Nước ngoàiTriệu VND,Tổng cộngTriệu VND,numeric__Miền BắcTriệu VND,numeric__Miền TrungTriệu VND,numeric__Miền NamTriệu VND,numeric__Nước ngoàiTriệu VND,numeric__Tổng cộngTriệu VND
Tiền mặt và vàng,Tiền mặt và vàng,Tiền mặt và vàng,1.220.559,447.207,154.791,74.988,1.897.545,1220559.0,447207.0,154791.0,74988.0,1897545.0
Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,13.952.711,7.145,9.969,1.176.037,15.145.862,13952711.0,7145.0,9969.0,1176037.0,15145862.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,62.583.679,1.696,3.480,420.007,63.008.862,62583679.0,1696.0,3480.0,420007.0,63008862.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,1.547,-,-,-,1.547,1547.0,,,,1547.0
Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,269.772,-,-,-,269.772,269772.0,,,,269772.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,280.477.491,63.447.666,21.098.819,13.551.467,378.575.443,280477491.0,63447666.0,21098819.0,13551467.0,378575443.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,32.954.676,-,-,-,32.954.676,32954676.0,,,,32954676.0
"Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",46.699,-,-,-,46.699,46699.0,,,,46699.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,4.872.080,53.028,21.434,7.854,4.954.396,4872080.0,53028.0,21434.0,7854.0,4954396.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,45.602.704,6.505.314,1.726.405,214.895,54.049.318,45602704.0,6505314.0,1726405.0,214895.0,54049318.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,441.981.918,70.462.056,23.014.898,15.445.248,550.904.120,441981918.0,70462056.0,23014898.0,15445248.0,550904120.0
Các khoản nợ Chính phủ và Ngân hàng Nhà nướcViệt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nướcViệt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nướcViệt Nam,9.715.193,-,-,-,9.715.193,9715193.0,,,,9715193.0
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,66.787.408,1.800.602,4.361,9.691.565,78.283.936,66787408.0,1800602.0,4361.0,9691565.0,78283936.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,259.296.398,73.171.724,26.335.045,2.872.426,361.675.593,259296398.0,73171724.0,26335045.0,2872426.0,361675593.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụngchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụngchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụngchịu rủi ro",1.615.605,-,-,-,1.615.605,1615605.0,,,,1615605.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,28.416.260,4.281.714,3.742.234,-,36.440.208,28416260.0,4281714.0,3742234.0,,36440208.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,37.219.422,(10.748.470),(7.694.061),1.492.223,20.269.114,37219422.0,-10748470.0,-7694061.0,1492223.0,20269114.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,403.050.286,68.505.570,22.387.579,14.056.214,507.999.649,403050286.0,68505570.0,22387579.0,14056214.0,507999649.0
