row_label_raw,row_label_full,col_0,Tín dụngTriệu VND,Đầu tưTriệu VND,Dịch vụTriệu VND,Kinh doanh vàhuy động vốnTriệu VND,Tổng cộngTriệu VND,numeric__Tín dụngTriệu VND,numeric__Đầu tưTriệu VND,numeric__Dịch vụTriệu VND,numeric__Kinh doanh vàhuy động vốnTriệu VND,numeric__Tổng cộngTriệu VND
Năm kết thúc ngày 31 tháng 12 năm 2021,Năm kết thúc ngày 31 tháng 12 năm 2021,Năm kết thúc ngày 31 tháng 12 năm 2021,Năm kết thúc ngày 31 tháng 12 năm 2021,Năm kết thúc ngày 31 tháng 12 năm 2021,Năm kết thúc ngày 31 tháng 12 năm 2021,Năm kết thúc ngày 31 tháng 12 năm 2021,Năm kết thúc ngày 31 tháng 12 năm 2021,,,,,
Thu nhập lãi và các khoản thu nhập tương tự,Năm kết thúc ngày 31 tháng 12 năm 2021 > Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,32.914.468,2.134.154,-,557.707,35.606.329,32914468.0,2134154.0,,557707.0,35606329.0
Thu nhập từ hoạt động dịch vụ,Năm kết thúc ngày 31 tháng 12 năm 2021 > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,-,-,143.934,764.807,908.741,,,143934.0,764807.0,908741.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Năm kết thúc ngày 31 tháng 12 năm 2021 > Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,-,143.539,-,-,143.539,,143539.0,,,143539.0
Lãi thuần từ mua bán chứng khoán đầu tư,Năm kết thúc ngày 31 tháng 12 năm 2021 > Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,-,988.410,-,-,988.410,,988410.0,,,988410.0
Thu nhập từ hoạt động khác,Năm kết thúc ngày 31 tháng 12 năm 2021 > Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,-,-,1.133.849,-,1.133.849,,,1133849.0,,1133849.0
"Thu nhập từ góp vốn, mua cổ phần","Năm kết thúc ngày 31 tháng 12 năm 2021 > Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",-,3.750,-,-,3.750,,3750.0,,,3750.0
,,,32.914.468,3.269.853,1.277.783,1.322.514,38.784.618,32914468.0,3269853.0,1277783.0,1322514.0,38784618.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,,,,,
Tài sản bộ phận,Tại ngày 31 tháng 12 năm 2021 > Tài sản bộ phận,Tài sản bộ phận,371.235.367,28.091.484,234.814,70.639.900,470.201.565,371235367.0,28091484.0,234814.0,70639900.0,470201565.0
Tài sản phân bổ,Tại ngày 31 tháng 12 năm 2021 > Tài sản phân bổ,Tài sản phân bổ,21.608.389,67.526,14.505.854,220.994,36.402.763,21608389.0,67526.0,14505854.0,220994.0,36402763.0
Tổng tài sản,Tại ngày 31 tháng 12 năm 2021 > Tổng tài sản,Tổng tài sản,392.843.756,28.159.010,14.740.668,70.860.894,506.604.328,392843756.0,28159010.0,14740668.0,70860894.0,506604328.0
Nợ phải trả bộ phận,Tại ngày 31 tháng 12 năm 2021 > Nợ phải trả bộ phận,Nợ phải trả bộ phận,(718.706),-,(79.356),(465.322.722),(466.120.784),-718706.0,,-79356.0,-465322722.0,-466120784.0
Nợ phân bổ,Tại ngày 31 tháng 12 năm 2021 > Nợ phân bổ,Nợ phân bổ,(2.939.396),(9.185),(1.973.236),(30.062),(4.951.879),-2939396.0,-9185.0,-1973236.0,-30062.0,-4951879.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2021 > Tổng nợ phải trả,Tổng nợ phải trả,(3.658.102),(9.185),(2.052.592),(465.352.784),(471.072.663),-3658102.0,-9185.0,-2052592.0,-465352784.0,-471072663.0
