row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,474.868,304.414,232.494,304.119,2.384,1.318.279,474868.0,304414.0,232494.0,304119.0,2384.0,1318279.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,4.832,4.576,10.701,21.980,19,42.108,4832.0,4576.0,10701.0,21980.0,19.0,42108.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(11.222),(9.017),(43.144),(4.844),-,(68.227),-11222.0,-9017.0,-43144.0,-4844.0,,-68227.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,2.075,68,-,(2.143),-,-,2075.0,68.0,,-2143.0,,
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(798),-,-,(130),-,(928),-798.0,,,-130.0,,-928.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,815,(2.105),(2.003),(554),(236),(4.083),815.0,-2105.0,-2003.0,-554.0,-236.0,-4083.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,470.570,297.936,198.048,318.428,2.167,1.287.149,470570.0,297936.0,198048.0,318428.0,2167.0,1287149.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,179.341,241.622,162.781,197.453,888,782.085,179341.0,241622.0,162781.0,197453.0,888.0,782085.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,15.148,12.427,11.781,20.106,257,59.719,15148.0,12427.0,11781.0,20106.0,257.0,59719.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.756),(9.012),(33.736),(4.670),-,(52.174),-4756.0,-9012.0,-33736.0,-4670.0,,-52174.0
Phân loại lại,Hao mòn lũy kế > Phân loại lại,Phân loại lại,236,8,-,(244),-,-,236.0,8.0,,-244.0,,
Biến động khác,Hao mòn lũy kế > Biến động khác,Biến động khác,(2.144),-,-,-,-,(2.144),-2144.0,,,,,-2144.0
Chênh lệch tỷ giá,Hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,635,(1.769),(1.527),(400),(130),(3.191),635.0,-1769.0,-1527.0,-400.0,-130.0,-3191.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,188.460,243.276,139.299,212.245,1.015,784.295,188460.0,243276.0,139299.0,212245.0,1015.0,784295.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,295.527,62.792,69.713,106.666,1.496,536.194,295527.0,62792.0,69713.0,106666.0,1496.0,536194.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,282.110,54.660,58.749,106.183,1.152,502.854,282110.0,54660.0,58749.0,106183.0,1152.0,502854.0
