row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021(Tương đương Triệu VND),USD,EUR,Tiền tệ khác,Tổng cộng,numeric__USD,numeric__EUR,numeric__Tiền tệ khác,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,620.388,46.679,14.342,681.409,620388.0,46679.0,14342.0,681409.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,3.878.859,512,165.552,4.044.923,3878859.0,512.0,165552.0,4044923.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,5.220.967,115.638,213.663,5.550.268,5220967.0,115638.0,213663.0,5550268.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(2.547.573),-,(9.917),(2.557.490),-2547573.0,,-9917.0,-2557490.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,11.902.213,3.566.083,1.989.209,17.457.505,11902213.0,3566083.0,1989209.0,17457505.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,7.010,-,3.380,10.390,7010.0,,3380.0,10390.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,17.270.702,527,37.697,17.308.926,17270702.0,527.0,37697.0,17308926.0
,,,36.352.566,3.729.439,2.413.926,42.495.931,36352566.0,3729439.0,2413926.0,42495931.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,22.739.981,1,101.785,22.841.767,22739981.0,1.0,101785.0,22841767.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,10.242.739,153.268,684.784,11.080.791,10242739.0,153268.0,684784.0,11080791.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",390.003,3.566.083,-,3.956.086,390003.0,3566083.0,,3956086.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,1.534.070,10.627,20.002,1.564.699,1534070.0,10627.0,20002.0,1564699.0
,,,34.906.793,3.729.979,806.571,39.443.343,34906793.0,3729979.0,806571.0,39443343.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,1.445.773,(540),1.607.355,3.052.588,1445773.0,-540.0,1607355.0,3052588.0
