row_label_raw,row_label_full,col_0,Tỷ lệ dự trữ bắt buộc,Tỷ lệ dự trữ bắt buộc_1,numeric__Tỷ lệ dự trữ bắt buộc,numeric__Tỷ lệ dự trữ bắt buộc_1
Loại tiền gửi,Loại tiền gửi,Loại tiền gửi,31/12/2022,31/12/2021,,
Tiền gửi bằng đồng tiền khác KHR,Loại tiền gửi > Tiền gửi bằng đồng tiền khác KHR,Tiền gửi bằng đồng tiền khác KHR,"12,50%","12,50%",0.125,0.125
Tiền gửi bằng KHR,Loại tiền gửi > Tiền gửi bằng KHR,Tiền gửi bằng KHR,"8,00%","8,00%",0.08,0.08
