row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.347.706,373.793,25.700,4.747.199,4347706.0,373793.0,25700.0,4747199.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,29.147,-,29.147,,29147.0,,29147.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(96),-,(96),,-96.0,,-96.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,(238),-,(238),,-238.0,,-238.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(1.353),(1.684),(3.037),,-1353.0,-1684.0,-3037.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.347.706,401.253,24.016,4.772.975,4347706.0,401253.0,24016.0,4772975.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.437,278.297,19.681,304.415,6437.0,278297.0,19681.0,304415.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,158,18.974,1.019,20.151,158.0,18974.0,1019.0,20151.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(96),-,(96),,-96.0,,-96.0
Chênh lệch tỷ giá,Hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(1.353),(1.684),(3.037),,-1353.0,-1684.0,-3037.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.595,295.822,19.016,321.433,6595.0,295822.0,19016.0,321433.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.341.269,95.496,6.019,4.442.784,4341269.0,95496.0,6019.0,4442784.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.341.111,105.431,5.000,4.451.542,4341111.0,105431.0,5000.0,4451542.0
