row_label_raw,row_label_full,col_0,Tỷ giá ngày > 31/12/2022 VND,Tỷ giá ngày > 31/12/2021 VND,numeric__Tỷ giá ngày > 31/12/2022 VND,numeric__Tỷ giá ngày > 31/12/2021 VND
USD,USD,USD,23.500,22.750,23500.0,22750.0
EUR,EUR,EUR,24.770,25.737,24770.0,25737.0
GBP,GBP,GBP,28.402,30.739,28402.0,30739.0
CHF,CHF,CHF,25.514,24.899,25514.0,24899.0
JPY,JPY,JPY,178,198,178.0,198.0
SGD,SGD,SGD,17.549,16.858,17549.0,16858.0
AUD,AUD,AUD,15.983,16.528,15983.0,16528.0
HKD,HKD,HKD,3.024,2.921,3024.0,2921.0
CAD,CAD,CAD,17.401,17.885,17401.0,17885.0
LAK,LAK,LAK,"1,360","2,036",1.36,2.036
THB,THB,THB,"682,5","683,7",682.5,683.7
