row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022(Tương đương Triệu VND),USD,EUR,Tiền tệ khác,Tổng cộng,numeric__USD,numeric__EUR,numeric__Tiền tệ khác,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,479.632,27.152,10.099,516.883,479632.0,27152.0,10099.0,516883.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,1.602.503,490,133.258,1.736.251,1602503.0,490.0,133258.0,1736251.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,513.488,574.217,66.475,1.154.180,513488.0,574217.0,66475.0,1154180.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,576.296,153.574,25.283,755.153,576296.0,153574.0,25283.0,755153.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,12.713.495,460.731,1.958.282,15.132.508,12713495.0,460731.0,1958282.0,15132508.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,6.494,-,1.360,7.854,6494.0,,1360.0,7854.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,14.935.743,3.452.347,27.950,18.416.040,14935743.0,3452347.0,27950.0,18416040.0
,,,30.827.651,4.668.511,2.222.707,37.718.869,30827651.0,4668511.0,2222707.0,37718869.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,21.413.321,976,108.784,21.523.081,21413321.0,976.0,108784.0,21523081.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,8.551.243,201.783,696.969,9.449.995,8551243.0,201783.0,696969.0,9449995.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",315.581,460.731,-,776.312,315581.0,460731.0,,776312.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,1.460.595,3.988.810,28.475,5.477.880,1460595.0,3988810.0,28475.0,5477880.0
,,,31.740.740,4.652.300,834.228,37.227.268,31740740.0,4652300.0,834228.0,37227268.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,(913.089),16.211,1.388.479,491.601,-913089.0,16211.0,1388479.0,491601.0
