row_label_raw,row_label_full,Giá trị quyết toán thì công công trình cải tạo tuyến và nút giao thông trên Quốc lộ 13 đoạn từ nút Hữu Nghị đến nút Tư do theo hợp đồng 345/HDKT/2014,Năm nay,Năm trước > 21.785.582.290,numeric__Năm nay,numeric__Năm trước > 21.785.582.290
Tiền diện sử dụng tại công trình Prince Town,Tiền diện sử dụng tại công trình Prince Town,Tiền diện sử dụng tại công trình Prince Town,-,56.629.473,,56629473.0
"Tiền diện, nước sử dụng tại căn hộ Aroma","Tiền diện, nước sử dụng tại căn hộ Aroma","Tiền diện, nước sử dụng tại căn hộ Aroma",-,31.869.818,,31869818.0
Nhận chuyển nhượng quyền sử dụng đất tại Khu liên hợp công nghiệp dịch vụ đô thị Bình Dương xây dựng dự án Nhà phố Prince Town theo Hợp đồng 45/DTMBD,Nhận chuyển nhượng quyền sử dụng đất tại Khu liên hợp công nghiệp dịch vụ đô thị Bình Dương xây dựng dự án Nhà phố Prince Town theo Hợp đồng 45/DTMBD,Nhận chuyển nhượng quyền sử dụng đất tại Khu liên hợp công nghiệp dịch vụ đô thị Bình Dương xây dựng dự án Nhà phố Prince Town theo Hợp đồng 45/DTMBD,-,56.217.895.491,,56217895491.0
Nhận chuyển nhượng quyền sử dụng đất tại Khu liên hợp công nghiệp dịch vụ đô thị Bình Dương xây dựng dự án Khu đô thị Đông Đô Đại Phố theo Hợp đồng 226/DTMBD,Nhận chuyển nhượng quyền sử dụng đất tại Khu liên hợp công nghiệp dịch vụ đô thị Bình Dương xây dựng dự án Khu đô thị Đông Đô Đại Phố theo Hợp đồng 226/DTMBD,Nhận chuyển nhượng quyền sử dụng đất tại Khu liên hợp công nghiệp dịch vụ đô thị Bình Dương xây dựng dự án Khu đô thị Đông Đô Đại Phố theo Hợp đồng 226/DTMBD,-,1.352.328.856.846,,1352328856846.0
Nhận chuyển nhượng quyền sử dụng đất tại Khu liên hợp công nghiệp dịch vụ đô thị Bình Dương xây dựng dự án Chung cư IJC Aroma theo Hợp đồng 163/DTMBD,Nhận chuyển nhượng quyền sử dụng đất tại Khu liên hợp công nghiệp dịch vụ đô thị Bình Dương xây dựng dự án Chung cư IJC Aroma theo Hợp đồng 163/DTMBD,Nhận chuyển nhượng quyền sử dụng đất tại Khu liên hợp công nghiệp dịch vụ đô thị Bình Dương xây dựng dự án Chung cư IJC Aroma theo Hợp đồng 163/DTMBD,-,114.999.998.955,,114999998955.0
Nhận chuyển nhượng quyền sử dụng đất tại Khu liên hợp công nghiệp dịch vụ đô thị Bình Dương xây dựng dự án Chung cư IJC Aroma theo Hợp đồng 232/DTMBD,Nhận chuyển nhượng quyền sử dụng đất tại Khu liên hợp công nghiệp dịch vụ đô thị Bình Dương xây dựng dự án Chung cư IJC Aroma theo Hợp đồng 232/DTMBD,Nhận chuyển nhượng quyền sử dụng đất tại Khu liên hợp công nghiệp dịch vụ đô thị Bình Dương xây dựng dự án Chung cư IJC Aroma theo Hợp đồng 232/DTMBD,-,65.999.999.400,,65999999400.0
Nhận chuyển nhượng quyền sử dụng đất tại Khu liên hợp công nghiệp dịch vụ đô thị Bình Dương dự án TĐC Hòa Lợi theo HD 69/HĐNT/2014,Nhận chuyển nhượng quyền sử dụng đất tại Khu liên hợp công nghiệp dịch vụ đô thị Bình Dương dự án TĐC Hòa Lợi theo HD 69/HĐNT/2014,Nhận chuyển nhượng quyền sử dụng đất tại Khu liên hợp công nghiệp dịch vụ đô thị Bình Dương dự án TĐC Hòa Lợi theo HD 69/HĐNT/2014,123.049.970.344,-,123049970344.0,
Thanh lý và nhận hoàn trả quyền sử dụng đất ở nông thôn Khu dân cư áp 4 Thới Hòa theo biên bản thanh lý của Hợp đồng số 405/HDKT-Tiền diện sử dụng tại công trình Khu đô thị Tokyu,Thanh lý và nhận hoàn trả quyền sử dụng đất ở nông thôn Khu dân cư áp 4 Thới Hòa theo biên bản thanh lý của Hợp đồng số 405/HDKT-Tiền diện sử dụng tại công trình Khu đô thị Tokyu,Thanh lý và nhận hoàn trả quyền sử dụng đất ở nông thôn Khu dân cư áp 4 Thới Hòa theo biên bản thanh lý của Hợp đồng số 405/HDKT-Tiền diện sử dụng tại công trình Khu đô thị Tokyu,-,90.929.679.963,,90929679963.0
"Cung cấp, lắp đặt máy lạnh 13 căn hộ cao cấp Aroma","Cung cấp, lắp đặt máy lạnh 13 căn hộ cao cấp Aroma","Cung cấp, lắp đặt máy lạnh 13 căn hộ cao cấp Aroma",-,30.235.091,,30235091.0
Tiền diện phải trả,Tiền diện phải trả,Tiền diện phải trả,-,187.909.091,,187909091.0
