row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.741.945.250.000,10.420.226.000,85.672.028.207,120.217.710.498,2.958.255.214.705,2741945250000.0,10420226000.0,85672028207.0,120217710498.0,2958255214705.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,127.982.252.417,127.982.252.417,,,,127982252417.0,127982252417.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,3.239.749.717,(11.537.807.628),(8.298.057.911),,,3239749717.0,-11537807628.0,-8298057911.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(109.677.810.000),(109.677.810.000),,,,-109677810000.0,-109677810000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.741.945.250.000,10.420.226.000,88.911.777.924,126.984.345.287,2.968.261.599.211,2741945250000.0,10420226000.0,88911777924.0,126984345287.0,2968261599211.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.741.945.250.000,10.420.226.000,88.911.777.924,126.984.345.287,2.968.261.599.211,2741945250000.0,10420226000.0,88911777924.0,126984345287.0,2968261599211.0
Giảm vốn điều lệ,Giảm vốn điều lệ,Giảm vốn điều lệ,(1.370.972.020.000),-,-,-,(1.370.972.020.000),-1370972020000.0,,,,-1370972020000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,184.328.314.933,184.328.314.933,,,,184328314933.0,184328314933.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,9.897.976.947,(22.124.297.567),(12.226.320.620),,,9897976947.0,-22124297567.0,-12226320620.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(109.677.858.400),(109.677.858.400),,,,-109677858400.0,-109677858400.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,1.370.973.230.000,10.420.226.000,98.809.754.871,179.510.504.253,1.659.713.715.124,1370973230000.0,10420226000.0,98809754871.0,179510504253.0,1659713715124.0
