row_label_raw,row_label_full,col_0,Số cuối năm > Thời gianquá hạn,Số cuối năm > Giá gốc,Số cuối năm > Giá trị cóthể thu hồi,Số đầu năm > Thời gianquá hạn,Số đầu năm > Giá gốc,Số đầu năm > Giá trị cóthể thu hồi,numeric__Số cuối năm > Thời gianquá hạn,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị cóthể thu hồi,numeric__Số đầu năm > Thời gianquá hạn,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị cóthể thu hồi
Các bên liên quanTổng Công ty Đầu tư và Phát triểnCông nghiệp -TNHH MTV,Các bên liên quanTổng Công ty Đầu tư và Phát triểnCông nghiệp -TNHH MTV,Các bên liên quanTổng Công ty Đầu tư và Phát triểnCông nghiệp -TNHH MTV,,83.576.754.000,83.576.754.000,,2.588.368.000,2.588.368.000,,83576754000.0,83576754000.0,,2588368000.0,2588368000.0
Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Dưới 06tháng,3.692.815.000,3.692.815.000,Dưới 06tháng,2.588.368.000,2.588.368.000,,3692815000.0,3692815000.0,,2588368000.0,2588368000.0
Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Từ 06 thángđến 01 năm,711.311.000,711.311.000,Từ 06 thángđến 01 năm,-,-,,711311000.0,711311000.0,,,
Công ty Cổ phầnPhát triển đô thị,Công ty Cổ phầnPhát triển đô thị,Công ty Cổ phầnPhát triển đô thị,,,,,,,,,,,,
Phải thu tiền bánbất động sản,Công ty Cổ phầnPhát triển đô thị > Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Dưới 06tháng,54.586.314.000,54.586.314.000,-,-,-,,54586314000.0,54586314000.0,,,
Phải thu tiền bánbất động sản,Công ty Cổ phầnPhát triển đô thị > Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Từ 06 thángđến 01 năm,24.586.314.000,24.586.314.000,-,-,-,,24586314000.0,24586314000.0,,,
Các tổ chức và cá nhân khác,Công ty Cổ phầnPhát triển đô thị > Các tổ chức và cá nhân khác,Các tổ chức và cá nhân khác,,430.390.920.831,430.390.920.831,,421.604.630.738,421.604.630.738,,430390920831.0,430390920831.0,,421604630738.0,421604630738.0
Công ty Cổ phầnDịch vụ Thươngmại và Xây dựngĐịa ốc Kim Oanh,Công ty Cổ phầnDịch vụ Thươngmại và Xây dựngĐịa ốc Kim Oanh,Công ty Cổ phầnDịch vụ Thươngmại và Xây dựngĐịa ốc Kim Oanh,,,,,,,,,,,,
Phải thu tiền bánbất động sản,Công ty Cổ phầnDịch vụ Thươngmại và Xây dựngĐịa ốc Kim Oanh > Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Từ 01 đến 02năm,264.375.000,264.375.000,Từ 01 đến 02năm,11.040.337.991,11.040.337.991,,264375000.0,264375000.0,,11040337991.0,11040337991.0
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,,,,,,,,,,,,
Phải thu tiền bánbất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Dưới 06tháng,61.473.983.239,61.473.983.239,Dưới 06tháng,71.729.327.654,71.729.327.654,,61473983239.0,61473983239.0,,71729327654.0,71729327654.0
Phải thu tiền bánbất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Từ 06 thángđến 01 năm,47.137.289.600,47.137.289.600,Từ 06 thángđến 01 năm,55.786.348.275,55.786.348.275,,47137289600.0,47137289600.0,,55786348275.0,55786348275.0
