row_label_raw,row_label_full,col_0,Linh vực bản vế câu dưỡng,Linh vực kinh doanh bất động sản,Linh vực kinh doanh bất động sản đầu tư,Linh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Các khoản loại trừ,Cộng,numeric__Linh vực bản vế câu dưỡng,numeric__Linh vực kinh doanh bất động sản,numeric__Linh vực kinh doanh bất động sản đầu tư,numeric__Linh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Các khoản loại trừ,numeric__Cộng
Năm nayDoanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nayDoanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nayDoanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,255.079.937.899,282.298.643.888,16.729.277.556,161.543.989.013,45.792.237.077,186.770.420.094,,948.214.505.527,255079937899.0,282298643888.0,16729277556.0,161543989013.0,45792237077.0,186770420094.0,,948214505527.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,,,,,,,,,,,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,255.079.937.899,282.298.643.888,16.729.277.556,161.543.989.013,45.792.237.077,186.770.420.094,,948.214.505.527,255079937899.0,282298643888.0,16729277556.0,161543989013.0,45792237077.0,186770420094.0,,948214505527.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,158.317.991.884,17.278.894.868,1.726.565.371,(10.763.152.434),8.811.261.809,37.462.435.570,,212.833.997.069,158317991884.0,17278894868.0,1726565371.0,-10763152434.0,8811261809.0,37462435570.0,,212833997069.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,,,,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,,212.833.997.069,,,,,,,,212833997069.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,2.969.739.859,,,,,,,,2969739859.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,,,,,,
"Phân lãi hoặc lỗ trong công ty liên doanh, liên kết","Phân lãi hoặc lỗ trong công ty liên doanh, liên kết","Phân lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,,,,,,,,,,,
Chi phí khác,Thu nhập khác > Chi phí khác,Chi phí khác,,,,,,,,6.918.628.521,,,,,,,,6918628521.0
Chi phí thuế thu nhập doanh aghiệp hiện hành,Thu nhập khác > Chi phí thuế thu nhập doanh aghiệp hiện hành,Chi phí thuế thu nhập doanh aghiệp hiện hành,,,,,,,,(911.989.190),,,,,,,,-911989190.0
Chi phí thuế thu nhập doanh aghiệp hoàn tài,Thu nhập khác > Chi phí thuế thu nhập doanh aghiệp hoàn tài,Chi phí thuế thu nhập doanh aghiệp hoàn tài,,,,,,,,(37.482.061.326),,,,,,,,-37482061326.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,,,,,,,,,
Tổng chi phí đã phát sinh đề mua tài sản có định và các tài sản dài hạn khác,Lợi nhuận sau thuế thu nhập doanh nghiệp > Tổng chi phí đã phát sinh đề mua tài sản có định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh đề mua tài sản có định và các tài sản dài hạn khác,16.929.878.880,111.326.147,1.939.030,123.666.398,,1.693.223.015,,18.860.033.471,16929878880.0,111326147.0,1939030.0,123666398.0,,1693223015.0,,18860033471.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Lợi nhuận sau thuế thu nhập doanh nghiệp > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,37.283.834.324,581.511.908,4.860.434.078,210.951.422,,6.962.311.935,,49.899.043.667,37283834324.0,581511908.0,4860434078.0,210951422.0,,6962311935.0,,49899043667.0
Tổng giá trị các khoản chi phí lớn không bằng tiền (trẻ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),Tổng giá trị các khoản chi phí lớn không bằng tiền (trẻ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),Tổng giá trị các khoản chi phí lớn không bằng tiền (trẻ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),,,,,,,,,,,,,,,,
