row_label_raw,row_label_full,col_0,Chi phí nghiên cứu và triển khai,Phần mềm máy tính,Cộng,numeric__Chi phí nghiên cứu và triển khai,numeric__Phần mềm máy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,412.500.000,5.051.244.185,5.463.744.185,412500000.0,5051244185.0,5463744185.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,,1.768.300.000,1.768.300.000,,1768300000.0,1768300000.0
Đầu tu xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tu xây dựng cơ bản hoàn thành,Đầu tu xây dựng cơ bản hoàn thành,,2.160.306.695,2.160.306.695,,2160306695.0,2160306695.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,412.500.000,8.979.850.880,9.392.350.880,412500000.0,8979850880.0,9392350880.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết nhưng vấn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vấn còn sử dụng,Đã khấu hao hết nhưng vấn còn sử dụng,,1.911.157.521,1.850.394.021,,1911157521.0,1850394021.0
Chờ thanh lý,Chờ thanh lý,Chờ thanh lý,,,,,,
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,103.125.000,3.286.648.867,3.389.773.867,103125000.0,3286648867.0,3389773867.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,41.250.000,701.554.402,742.804.402,41250000.0,701554402.0,742804402.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,144.375.000,3.988.203.269,4.132.578.269,144375000.0,3988203269.0,4132578269.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,309.375.000,1.764.595.318,2.073.970.318,309375000.0,1764595318.0,2073970318.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,268.125.000,4.991.647.611,5.259.772.611,268125000.0,4991647611.0,5259772611.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Tạm thời không sử dụng,Tạm thời không sử dụng,Tạm thời không sử dụng,,,,,,
Đang chờ thanh lý,Đang chờ thanh lý,Đang chờ thanh lý,,,,,,
