row_label_raw,row_label_full,col_0,Linh vực bin vếclàu dưỡng,Linh vực kinh doanhbất động sản,Linh vực kinh doanhbất động sản đầu tư,Linh vực xây dựng,Hợp đồng hợp táckinh doanh,Các linh vực khác,Các khoản loạitrừ,Cộng,numeric__Linh vực bin vếclàu dưỡng,numeric__Linh vực kinh doanhbất động sản,numeric__Linh vực kinh doanhbất động sản đầu tư,numeric__Linh vực xây dựng,numeric__Hợp đồng hợp táckinh doanh,numeric__Các linh vực khác,numeric__Các khoản loạitrừ,numeric__Cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụra bên ngoài,231.157.519.254,1.405.408.872.800,12.563.247.626,162.234.846.463,12.113.274.894,147.077.251.255,,1.970.555.012.292,231157519254.0,1405408872800.0,12563247626.0,162234846463.0,12113274894.0,147077251255.0,,1970555012292.0
Doanh thu thuần về bán hàng và cung cấp dịch vụgiòn các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụgiòn các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụgiòn các bộ phận,,,,,,,,,,,,,,,,
Tổng doanh thu thuần về bán hàng và cungcấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụgiòn các bộ phận > Tổng doanh thu thuần về bán hàng và cungcấp dịch vụ,Tổng doanh thu thuần về bán hàng và cungcấp dịch vụ,231.157.519.254,1.405.408.872.800,12.563.247.626,162.234.846.463,12.113.274.894,147.077.251.255,,1.970.555.012.292,231157519254.0,1405408872800.0,12563247626.0,162234846463.0,12113274894.0,147077251255.0,,1970555012292.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụgiòn các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,155.148.656.174,(6.468.666.855),(3.221.648.021),9.342.574.323,(18.745.581.754),18.291.105.538,,154.346.479.405,155148656174.0,-6468666855.0,-3221648021.0,9342574323.0,-18745581754.0,18291105538.0,,154346479405.0
Các chi phí không phân bổ theo bổ phân,Các chi phí không phân bổ theo bổ phân,Các chi phí không phân bổ theo bổ phân,,,,,,,,,,,,,,,,
Lợi thuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bổ phân > Lợi thuận từ hoạt động kinh doanh,Lợi thuận từ hoạt động kinh doanh,,,,,,,,154.346.479.405,,,,,,,,154346479405.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bổ phân > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,3.331.576.321,,,,,,,,3331576321.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,,,,,,
"Phân lãi hoặc bổ trong công ty liên doanh, liêu kết","Chi phí tài chính > Phân lãi hoặc bổ trong công ty liên doanh, liêu kết","Phân lãi hoặc bổ trong công ty liên doanh, liêu kết",,,,,,,,4.571.612.144,,,,,,,,4571612144.0
Thu nhập khác,Chi phí tài chính > Thu nhập khác,Thu nhập khác,,,,,,,,(1.753.892.974),,,,,,,,-1753892974.0
Chi phí khác,Chi phí tài chính > Chi phí khác,Chi phí khác,,,,,,,,(32.513.522.479),,,,,,,,-32513522479.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí tài chính > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,,127.982.252.417,,,,,,,,127982252417.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,,,,,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,,,,,,,,,
Tổng chỉ phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Lợi nhuận sau thuế thu nhập doanh nghiệp > Tổng chỉ phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Tổng chỉ phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,42.100.835.856,61.698.945,178.857,7.122.008,,2.790.767.039,,44.960.601.906,42100835856.0,61698945.0,178857.0,7122008.0,,2790767039.0,,44960601906.0
Tổng chỉ phí khấu hao và phân bổ chỉ phí trả trước dài hạn,Lợi nhuận sau thuế thu nhập doanh nghiệp > Tổng chỉ phí khấu hao và phân bổ chỉ phí trả trước dài hạn,Tổng chỉ phí khấu hao và phân bổ chỉ phí trả trước dài hạn,34.531.301.174,1.230.236.433,4.933.317.877,125.649.815,,6.771.741.049,,47.592.246.347,34531301174.0,1230236433.0,4933317877.0,125649815.0,,6771741049.0,,47592246347.0
Tổng giữ trị các khoản chỉ phí lớn không bằngtiêu (trừ chỉ phí khấu hao và phân bổ chỉ phí trả trước dài hạn),Tổng giữ trị các khoản chỉ phí lớn không bằngtiêu (trừ chỉ phí khấu hao và phân bổ chỉ phí trả trước dài hạn),Tổng giữ trị các khoản chỉ phí lớn không bằngtiêu (trừ chỉ phí khấu hao và phân bổ chỉ phí trả trước dài hạn),,,,,,,,,,,,,,,,
