row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Phải thu bên liên quan,Phải thu bên liên quan,Phải thu bên liên quan,20.287.680.055,,11.916.368.246,,20287680055.0,,11916368246.0,
Tổng Công ty Đầu tư và Phát triểnCông nghiệp - TNHH MTV - Phải thu tiền lợi nhuận được chia từ Dự ánBecamex City Center,Tổng Công ty Đầu tư và Phát triểnCông nghiệp - TNHH MTV - Phải thu tiền lợi nhuận được chia từ Dự ánBecamex City Center,Tổng Công ty Đầu tư và Phát triểnCông nghiệp - TNHH MTV - Phải thu tiền lợi nhuận được chia từ Dự ánBecamex City Center,20.065.680.055,,11.254.418.246,,20065680055.0,,11254418246.0,
"Công ty Liên doanh TNHH Khu ccông nghiệp Việt Nam - Singapore - Kýquỹ, ký cược ngắn hạn.","Công ty Liên doanh TNHH Khu ccông nghiệp Việt Nam - Singapore - Kýquỹ, ký cược ngắn hạn.","Công ty Liên doanh TNHH Khu ccông nghiệp Việt Nam - Singapore - Kýquỹ, ký cược ngắn hạn.",132.000.000,,,,132000000.0,,,
Công ty TNHH Becamex Tokyu - Kýquỹ ký cược ngắn hạn,Công ty TNHH Becamex Tokyu - Kýquỹ ký cược ngắn hạn,Công ty TNHH Becamex Tokyu - Kýquỹ ký cược ngắn hạn,90.000.000,,40.000.000,,90000000.0,,40000000.0,
Công ty Cổ phần nước - Môi trườngBình Dương - Tiền ứng để thi công hệ thống cấp nước,Công ty Cổ phần nước - Môi trườngBình Dương - Tiền ứng để thi công hệ thống cấp nước,Công ty Cổ phần nước - Môi trườngBình Dương - Tiền ứng để thi công hệ thống cấp nước,,,621.950.000,,,,621950000.0,
Phải thu các tổ chức khác,Phải thu các tổ chức khác,Phải thu các tổ chức khác,5.669.797.810,,5.215.621.532,,5669797810.0,,5215621532.0,
Lãi tiền gửi dự thu,Lãi tiền gửi dự thu,Lãi tiền gửi dự thu,75.241.456,,48.144.443,,75241456.0,,48144443.0,
"Chi hộ cho Ban quản lý tòa nhà chung cư New Horizon, tòa nhà Becamex Tower","Chi hộ cho Ban quản lý tòa nhà chung cư New Horizon, tòa nhà Becamex Tower","Chi hộ cho Ban quản lý tòa nhà chung cư New Horizon, tòa nhà Becamex Tower",55.473.386,,132.948.084,,55473386.0,,132948084.0,
Phải thu tiền chi hộ làm số cho khách hàng mua căn hộ Sunrise,Phải thu tiền chi hộ làm số cho khách hàng mua căn hộ Sunrise,Phải thu tiền chi hộ làm số cho khách hàng mua căn hộ Sunrise,180.306.500,,315.720.800,,180306500.0,,315720800.0,
Phải thu tiền chi hộ làm số cho khách hàng mua dự án The Green River,Phải thu tiền chi hộ làm số cho khách hàng mua dự án The Green River,Phải thu tiền chi hộ làm số cho khách hàng mua dự án The Green River,259.814.800,,614.353.800,,259814800.0,,614353800.0,
Thuế thu nhập doanh nghiệp tạm nộp cho số tiền nhận trước từ hoạt động chuyển nhượng bất động sản,Thuế thu nhập doanh nghiệp tạm nộp cho số tiền nhận trước từ hoạt động chuyển nhượng bất động sản,Thuế thu nhập doanh nghiệp tạm nộp cho số tiền nhận trước từ hoạt động chuyển nhượng bất động sản,87.442.346,,87.442.346,,87442346.0,,87442346.0,
Phải thu tiền chi hộ làm số cho khách hàng mua dự án Phố TM IJC2,Phải thu tiền chi hộ làm số cho khách hàng mua dự án Phố TM IJC2,Phải thu tiền chi hộ làm số cho khách hàng mua dự án Phố TM IJC2,398.195.500,,77.199.000,,398195500.0,,77199000.0,
Tạm ứng công tác,Tạm ứng công tác,Tạm ứng công tác,1.267.646.156,,1.348.814.673,,1267646156.0,,1348814673.0,
"Ký cược, ký quỹ ngắn hạn","Ký cược, ký quỹ ngắn hạn","Ký cược, ký quỹ ngắn hạn",353.000.000,,253.000.000,,353000000.0,,253000000.0,
Thuế VAT chưa kê khai,Thuế VAT chưa kê khai,Thuế VAT chưa kê khai,2.424.460.860,,2.178.558.229,,2424460860.0,,2178558229.0,
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,568.216.806,,159.440.157,,568216806.0,,159440157.0,
Cộng,Cộng,Cộng,25.957.477.865,,17.131.989.778,,25957477865.0,,17131989778.0,
