row_label_raw,row_label_full,7 . PHẢI THU VỀ CHO VAY,7 . PHẢI THU VỀ CHO VAY_1,7 . PHẢI THU VỀ CHO VAY_2,7 . PHẢI THU VỀ CHO VAY_3,7 . PHẢI THU VỀ CHO VAY_4,7 . PHẢI THU VỀ CHO VAY_5,7 . PHẢI THU VỀ CHO VAY_6,7 . PHẢI THU VỀ CHO VAY_7,numeric__7 . PHẢI THU VỀ CHO VAY_1,numeric__7 . PHẢI THU VỀ CHO VAY_2,numeric__7 . PHẢI THU VỀ CHO VAY_3,numeric__7 . PHẢI THU VỀ CHO VAY_4,numeric__7 . PHẢI THU VỀ CHO VAY_5,numeric__7 . PHẢI THU VỀ CHO VAY_6,numeric__7 . PHẢI THU VỀ CHO VAY_7
,,,,01/01/2023,01/01/2023,Trong năm,Trong năm,31/12/2023,31/12/2023,,,,,,,
,,,,Giá trị,Dự phòng,Tăng,Giảm,Giá trị,Dự phòng,,,,,,,
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
a),a),a),Ngắn hạn,,,,,,,,,,,,,
a),a),a),Bên liên quan,,,,,,,,,,,,,
a),a) > a),a),- Công ty Cổ phần Đầu tư & Phát triển Tân Thành (1),175.347.102.061,-,-,26.800.000.000,148.547.102.061,(32.204.130.618),,175347102061.0,,,26800000000.0,148547102061.0,-32204130618.0
a),a),a),Bên khác,,,,,,,,,,,,,
a),a) > a),a),- Điện lực Bình Dương (2),871.851.396,-,264.022.154,-,1.135.873.550,-,,871851396.0,,264022154.0,,1135873550.0,
a),a) > a),a),,176.218.953.457,-,264.022.154,26.800.000.000,149.682.975.611,(32.204.130.618),,176218953457.0,,264022154.0,26800000000.0,149682975611.0,-32204130618.0
b),b),b),Dài hạn,,,,,,,,,,,,,
b),b),b),Bên khác,,,,,,,,,,,,,
b),b) > b),b),- Công ty TNHH Du lịch D&M (3),9.896.049.652,-,-,-,9.896.049.652,-,,9896049652.0,,,,9896049652.0,
b),b) > b),b),,9.896.049.652,-,-,-,9.896.049.652,-,,9896049652.0,,,,9896049652.0,
