row_label_raw,row_label_full,col_0,col_1,Năm 2023,Năm 2022,numeric__col_1,numeric__Năm 2023,numeric__Năm 2022
,,,,VND,VND,,,
Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,,,
-,Vốn đầu tư của chủ sở hữu > -,-,Vốn góp đầu năm,3.000.000.000.000,3.000.000.000.000,,3000000000000.0,3000000000000.0
-,Vốn đầu tư của chủ sở hữu > -,-,Vốn góp cuối năm,3.000.000.000.000,3.000.000.000.000,,3000000000000.0,3000000000000.0
"Cổ tức, lợi nhuận:","Cổ tức, lợi nhuận:","Cổ tức, lợi nhuận:","Cổ tức, lợi nhuận:","Cổ tức, lợi nhuận:","Cổ tức, lợi nhuận:",,,
-,"Cổ tức, lợi nhuận: > -",-,"Cổ tức, lợi nhuận phải trả đầu năm",443.314.000.314,601.023.889.844,,443314000314.0,601023889844.0
,,,+ Lợi nhuận phải nộp về Ngân sách Nhà nước (*),443.297.563.946,601.023.889.844,,443297563946.0,601023889844.0
,,,+ Cổ tức phải trả cổ đông,16.436.368,-,,16436368.0,
-,"Cổ tức, lợi nhuận: > -",-,"Cổ tức, lợi nhuận phải trả trong năm",184.311.525.501,-,,184311525501.0,
,,,+ Lợi nhuận phải nộp về Ngân sách Nhà nước (*),34.311.525.501,-,,34311525501.0,
-,"Cổ tức, lợi nhuận: > -",-,"Cổ tức, lợi nhuận đã chi trả bằng tiền",150.000.000.000,-,,150000000000.0,
-,"Cổ tức, lợi nhuận: > -",-,"Cổ tức, lợi nhuận còn phải trả cuối năm",477.625.525.815,601.023.889.844,,477625525815.0,601023889844.0
,,,+ Lợi nhuận phải nộp về Ngân sách Nhà nước (*),477.609.089.447,601.023.889.844,,477609089447.0,601023889844.0
,,,+ Cổ tức phải trả cổ đông,16.436.368,-,,16436368.0,
