row_label_raw,row_label_full,Theo lĩnh vực kinh doanh,Theo lĩnh vực kinh doanh_1,Theo lĩnh vực kinh doanh_2,Theo lĩnh vực kinh doanh_3,Theo lĩnh vực kinh doanh_4,Theo lĩnh vực kinh doanh_5,numeric__Theo lĩnh vực kinh doanh_1,numeric__Theo lĩnh vực kinh doanh_2,numeric__Theo lĩnh vực kinh doanh_3,numeric__Theo lĩnh vực kinh doanh_4,numeric__Theo lĩnh vực kinh doanh_5
,,,"Sản xuất, kinh doanh thương mại, dịch vụ",Kinh doanh hạ tầng khu công nghiệp,Các hoạt động khác,Tổng cộng các bộ phận,Tổng cộng toàn doanh nghiệp,,,,,
,,,VND,VND,VND,VND,VND,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,881.795.073.955,236.018.285.200,38.641.825.700,1.156.455.184.855,1.156.455.184.855,881795073955.0,236018285200.0,38641825700.0,1156455184855.0,1156455184855.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,170.822.056.492,189.018.927.859,(1.372.258.740),358.468.725.611,358.468.725.611,170822056492.0,189018927859.0,-1372258740.0,358468725611.0,358468725611.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,30.886.959.360,14.453.802.714,,45.340.762.074,45.340.762.074,30886959360.0,14453802714.0,,45340762074.0,45340762074.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,4.535.012.235.626,1.213.269.317.846,84.106.813.521,5.832.388.366.993,5.832.388.366.993,4535012235626.0,1213269317846.0,84106813521.0,5832388366993.0,5832388366993.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,4.535.012.235.626,1.213.269.317.846,84.106.813.521,5.832.388.366.993,5.832.388.366.993,4535012235626.0,1213269317846.0,84106813521.0,5832388366993.0,5832388366993.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,1.126.199.237.084,491.421.454.572,13.841.945.175,1.631.462.636.831,1.631.462.636.831,1126199237084.0,491421454572.0,13841945175.0,1631462636831.0,1631462636831.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,219.754.835.126,219.754.835.126,,,,219754835126.0,219754835126.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,1.126.199.237.084,491.421.454.572,13.841.945.175,1.851.217.471.957,1.851.217.471.957,1126199237084.0,491421454572.0,13841945175.0,1851217471957.0,1851217471957.0
