row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộp dàunăm,Số phải nộp trongnăm,Số đã thực nộptrong năm,Giảm khác,Chênh lệch tỷ giádo chuyển đốiBCTC,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộp dàunăm,numeric__Số phải nộp trongnăm,numeric__Số đã thực nộptrong năm,numeric__Giảm khác,numeric__Chênh lệch tỷ giádo chuyển đốiBCTC,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,-,2.241.003.118,57.335.337.914,57.338.312.472,-,(3.524.008),2.337.904.655,2.355.187.524,,2241003118.0,57335337914.0,57338312472.0,,-3524008.0,2337904655.0,2355187524.0
- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,-,2.942.419.481,27.967.724.447,28.211.126.152,-,-,-,2.699.017.776,,2942419481.0,27967724447.0,28211126152.0,,,,2699017776.0
"- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu",-,-,101.535.084,101.535.084,-,-,-,-,,,101535084.0,101535084.0,,,,
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,18.960.044.169,44.208.346.550,45.256.337.549,48.243.780.810,-,(778.396.723),18.662.011.088,40.144.473.485,18960044169.0,44208346550.0,45256337549.0,48243780810.0,,-778396723.0,18662011088.0,40144473485.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,243.105.314,894.231.216,37.379.155.276,37.431.127.373,-,(25.793.828),217.588.603,790.948.580,243105314.0,894231216.0,37379155276.0,37431127373.0,,-25793828.0,217588603.0,790948580.0
- Thuế tài nguyên,- Thuế tài nguyên,- Thuế tài nguyên,-,12.981.200,404.638.080,398.096.880,-,-,-,19.522.400,,12981200.0,404638080.0,398096880.0,,,,19522400.0
- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,267.727.149,126,6.290.555.966,6.290.546.966,-,-,267.727.149,9.126,267727149.0,126.0,6290555966.0,6290546966.0,,,267727149.0,9126.0
- Các khoản phải nộp khác (*),- Các khoản phải nộp khác (*),- Các khoản phải nộp khác (*),346.936.149.582,602.444.228,(788.764.787.111),902.060.583,791.137.418.056,(230.105.118),-,1.842.909.472,346936149582.0,602444228.0,-788764787111.0,902060583.0,791137418056.0,-230105118.0,,1842909472.0
"- Các khoản phí, lệ phí","- Các khoản phí, lệ phí","- Các khoản phí, lệ phí",-,-,1.063.640.138.149,716.703.988.567,,,-,-,,,1063640138149.0,716703988567.0,,,,
,,,366.407.026.214,50.901.425.919,449.610.635.354,895.620.574.887,791.137.418.056,(1.037.819.677),21.485.231.495,47.852.068.363,366407026214.0,50901425919.0,449610635354.0,895620574887.0,791137418056.0,-1037819677.0,21485231495.0,47852068363.0
