row_label_raw,row_label_full,TÀI SẢN CÓ ĐỊNH VÔ HÌNH,TÀI SẢN CÓ ĐỊNH VÔ HÌNH_1,TÀI SẢN CÓ ĐỊNH VÔ HÌNH_2,TÀI SẢN CÓ ĐỊNH VÔ HÌNH_3,TÀI SẢN CÓ ĐỊNH VÔ HÌNH_4,numeric__TÀI SẢN CÓ ĐỊNH VÔ HÌNH_1,numeric__TÀI SẢN CÓ ĐỊNH VÔ HÌNH_2,numeric__TÀI SẢN CÓ ĐỊNH VÔ HÌNH_3,numeric__TÀI SẢN CÓ ĐỊNH VÔ HÌNH_4
,,,Quyền sử dụng đất,Phần mềm,TSCĐ vô hình khác,Cộng,,,,
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,713.915.926.361,4.456.580.513,87.000.000,718.459.506.874,713915926361.0,4456580513.0,87000000.0,718459506874.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Nguyên giá > - Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,81.070.000,576.174.662,-,657.244.662,81070000.0,576174662.0,,657244662.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,713.996.996.361,5.032.755.175,87.000.000,719.116.751.536,713996996361.0,5032755175.0,87000000.0,719116751536.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,129.324.874.946,3.709.321.911,13.096.774,133.047.293.631,129324874946.0,3709321911.0,13096774.0,133047293631.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,23.553.757.802,239.067.570,17.400.000,23.810.225.372,23553757802.0,239067570.0,17400000.0,23810225372.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Giá trị hao mòn lũy kế > - Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,73.735.770,-,-,73.735.770,73735770.0,,,73735770.0
- Chênh lệch đánh giá lại tài sản thực hiện trong năm,Giá trị hao mòn lũy kế > - Chênh lệch đánh giá lại tài sản thực hiện trong năm,- Chênh lệch đánh giá lại tài sản thực hiện trong năm,2.628.833.440,-,-,2.628.833.440,2628833440.0,,,2628833440.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,155.581.201.958,3.948.389.481,30.496.774,159.560.088.213,155581201958.0,3948389481.0,30496774.0,159560088213.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,584.591.051.415,747.258.602,73.903.226,585.412.213.243,584591051415.0,747258602.0,73903226.0,585412213243.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,558.415.794.403,1.084.365.694,56.503.226,559.556.663.323,558415794403.0,1084365694.0,56503226.0,559556663323.0
