row_label_raw,row_label_full,col_0,col_1,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,Tổng cộngTriệu VND,numeric__col_1,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__Tổng cộngTriệu VND
,,,,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,Tổng cộngTriệu VND,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,
I,Tài sản > I,I,"Tiền mặt, vàng bạc, đá quý",14.633.161,2.636.116,340.080,321.110,17.930.467,,14633161.0,2636116.0,340080.0,321110.0,17930467.0
II,Tài sản > II,II,Tiền gửi tại NHNNVN,11.152.128,11.158.864,-,-,22.310.992,,11152128.0,11158864.0,,,22310992.0
III,Tài sản > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,146.952.501,72.304.164,3.763.009,8.534.837,231.554.511,,146952501.0,72304164.0,3763009.0,8534837.0,231554511.0
IV,Tài sản > IV,IV,Chứng khoán kinh doanh – gộp,799.376,-,-,-,799.376,,799376.0,,,,799376.0
V,Tài sản > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,37.484.864,(37.199.449),71,17.716,303.202,,37484864.0,-37199449.0,71.0,17716.0,303202.0
VI,Tài sản > VI,VI,Cho vay khách hàng – gộp,838.505.846,112.088.025,1.424.830,-,952.018.701,,838505846.0,112088025.0,1424830.0,,952018701.0
VII,Tài sản > VII,VII,Chứng khoán đầu tư – gộp,147.791.907,22.780.000,-,-,170.571.907,,147791907.0,22780000.0,,,170571907.0
VIII,Tài sản > VIII,VIII,"Gộp vốn, đầu tư dài hạn – gộp",5.778.686,-,-,-,5.778.686,,5778686.0,,,,5778686.0
IX,Tài sản > IX,IX,Tài sản cố định,8.372.476,-,-,-,8.372.476,,8372476.0,,,,8372476.0
X,Tài sản > X,X,Tài sản Có khác – gộp,25.839.511,1.491.802,1.417,8.557,27.341.287,,25839511.0,1491802.0,1417.0,8557.0,27341287.0
,,,Tổng tài sản,1.237.310.456,185.259.522,5.529.407,8.882.220,1.436.981.605,,1237310456.0,185259522.0,5529407.0,8882220.0,1436981605.0
,,,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,
I,Tài sản > I,I,Các khoản nợ Chính phủ và NHNNVN và tiền gửi và vay các TCTD khác,68.382.977,39.325.991,1.541.546,5.796.402,115.046.916,,68382977.0,39325991.0,1541546.0,5796402.0,115046916.0
II,Tài sản > II,II,Tiền gửi của khách hàng,985.506.187,144.155.175,4.096.044,3.002.102,1.136.759.508,,985506187.0,144155175.0,4096044.0,3002102.0,1136759508.0
IV,Tài sản > IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",7.707,-,-,-,7.707,,7707.0,,,,7707.0
V,Tài sản > V,V,Phát hành giấy tờ có giá,17.413.937,42,-,-,17.413.979,,17413937.0,42.0,,,17413979.0
VI,Tài sản > VI,VI,Các khoản nợ phải trả khác,29.711.805,1.231.938,86.977,51.505,31.082.225,,29711805.0,1231938.0,86977.0,51505.0,31082225.0
,,,Tổng nợ phải trả,1.101.022.613,184.713.146,5.724.567,8.850.009,1.300.310.335,,1101022613.0,184713146.0,5724567.0,8850009.0,1300310335.0
,,,Trạng thái tiền tệ nội bằng,136.287.843,546.376,(195.160),32.211,136.671.270,,136287843.0,546376.0,-195160.0,32211.0,136671270.0
