row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021: > Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Ngành kinh doanh > Ngân hàng,"Tỷ lệ vốn góp(%) > 4,50%",Giá gốcTriệu VND > 319.907,numeric__Ngành kinh doanh > Ngân hàng,"numeric__Tỷ lệ vốn góp(%) > 4,50%",numeric__Giá gốcTriệu VND > 319.907
Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng,"4,35%",802.269,,0.0435,802269.0
Quỹ Bảo lãnh Tín dụng cho Doanh nghiệp nhỏ và vừa,Quỹ Bảo lãnh Tín dụng cho Doanh nghiệp nhỏ và vừa,Quỹ Bảo lãnh Tín dụng cho Doanh nghiệp nhỏ và vừa,Bảo lãnh tín dụng,"0,80%",1.864,,0.008,1864.0
Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Bảo hiểm,"8,03%",67.900,,0.0803,67900.0
Công ty Cổ phần Thông tin tín dụng Việt Nam,Công ty Cổ phần Thông tin tín dụng Việt Nam,Công ty Cổ phần Thông tin tín dụng Việt Nam,Dịch vụ thông tin tín dụng,"6,64%",7.962,,0.0664,7962.0
Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam,Đầu tư đường cao tốc,"1,97%",75.000,,0.0197,75000.0
Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Công ty Cổ phần Thanh toán Quốc gia Việt Nam,"Dịch vụ thể, thanh toán","1,83%",4.400,,0.0183,4400.0
Tổng Công ty Hàng không Việt Nam,Tổng Công ty Hàng không Việt Nam,Tổng Công ty Hàng không Việt Nam,Hàng không,"1,02%",379.223,,0.0102,379223.0
"SWIFT, MASTER và VISA","SWIFT, MASTER và VISA","SWIFT, MASTER và VISA","Dịch vụ thể, thanh toán",-,2.936,,,2936.0
,,,,,1.661.461,,,1661461.0
Tại ngày 31 tháng 12 năm 2020:,Tại ngày 31 tháng 12 năm 2020:,Tại ngày 31 tháng 12 năm 2020:,Ngành kinh doanh,Tỷ lệ vốn góp(%),Giá gốcTriệu VND,,,
Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Tại ngày 31 tháng 12 năm 2020: > Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Ngân hàng,"4,50%",319.907,,0.045,319907.0
Ngân hàng TMCP Quân Đội,Tại ngày 31 tháng 12 năm 2020: > Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng,"4,31%",802.269,,0.0431,802269.0
Quỹ Bảo lãnh Tín dụng cho Doanh nghiệp nhỏ và vừa,Tại ngày 31 tháng 12 năm 2020: > Quỹ Bảo lãnh Tín dụng cho Doanh nghiệp nhỏ và vừa,Quỹ Bảo lãnh Tín dụng cho Doanh nghiệp nhỏ và vừa,Bảo lãnh tín dụng,"0,80%",1.864,,0.008,1864.0
Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tại ngày 31 tháng 12 năm 2020: > Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Bảo hiểm,"8,03%",67.900,,0.0803,67900.0
Công ty Cổ phần Thông tin tín dụng Việt Nam,Tại ngày 31 tháng 12 năm 2020: > Công ty Cổ phần Thông tin tín dụng Việt Nam,Công ty Cổ phần Thông tin tín dụng Việt Nam,Dịch vụ thông tin tín dụng,"6,64%",7.962,,0.0664,7962.0
Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam,Tại ngày 31 tháng 12 năm 2020: > Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam,Đầu tư đường cao tốc,"1,97%",75.000,,0.0197,75000.0
Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Tại ngày 31 tháng 12 năm 2020: > Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Công ty Cổ phần Thanh toán Quốc gia Việt Nam,"Dịch vụ thể, thanh toán","1,83%",4.400,,0.0183,4400.0
Tổng Công ty Hàng không Việt Nam,Tại ngày 31 tháng 12 năm 2020: > Tổng Công ty Hàng không Việt Nam,Tổng Công ty Hàng không Việt Nam,Hàng không,"1,04%",305.585,,0.0104,305585.0
"SWIFT, MASTER và VISA","Tại ngày 31 tháng 12 năm 2020: > SWIFT, MASTER và VISA","SWIFT, MASTER và VISA","Dịch vụ thể, thanh toán",-,2.936,,,2936.0
