row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phươngtiện vận tải,truyền đãnTriệu VND",Tài sâncó định hữuhình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phươngtiện vận tải,truyền đãnTriệu VND",numeric__Tài sâncó định hữuhình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.055.456,4.336.840,1.104.603,1.429.890,11.926.789,5055456.0,4336840.0,1104603.0,1429890.0,11926789.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,407.977,556.453,101.391,140.724,1.206.545,407977.0,556453.0,101391.0,140724.0,1206545.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,407.977,544.358,101.391,132.094,1.185.820,407977.0,544358.0,101391.0,132094.0,1185820.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,12.095,-,8.630,20.725,,12095.0,,8630.0,20725.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(99.951),(224.827),(22.684),(16.958),(364.420),-99951.0,-224827.0,-22684.0,-16958.0,-364420.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(6.439),(224.827),(19.972),(16.958),(268.196),-6439.0,-224827.0,-19972.0,-16958.0,-268196.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(93.512),-,(2.712),-,(96.224),-93512.0,,-2712.0,,-96224.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.363.482,4.668.466,1.183.310,1.553.656,12.768.914,5363482.0,4668466.0,1183310.0,1553656.0,12768914.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.190.364,3.804.640,719.282,1.093.840,6.808.126,1190364.0,3804640.0,719282.0,1093840.0,6808126.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,220.371,414.031,102.214,179.529,916.145,220371.0,414031.0,102214.0,179529.0,916145.0
- Khấu hao,Hao mòn lũy kế > - Khấu hao,- Khấu hao,219.907,383.033,102.214,170.678,875.832,219907.0,383033.0,102214.0,170678.0,875832.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,464,30.998,-,8.851,40.313,464.0,30998.0,,8851.0,40313.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(6.492),(224.827),(19.972),(16.724),(268.015),-6492.0,-224827.0,-19972.0,-16724.0,-268015.0
"- Thanh lý, nhượng bán","Hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(6.439),(224.827),(19.972),(16.724),(267.962),-6439.0,-224827.0,-19972.0,-16724.0,-267962.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,(53),-,-,-,(53),-53.0,,,,-53.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.404.243,3.993.844,801.524,1.256.645,7.456.256,1404243.0,3993844.0,801524.0,1256645.0,7456256.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.865.092,532.200,385.321,336.050,5.118.663,3865092.0,532200.0,385321.0,336050.0,5118663.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.959.239,674.622,381.786,297.011,5.312.658,3959239.0,674622.0,381786.0,297011.0,5312658.0
