row_label_raw,row_label_full,Thuế giá trị gia tăng,Số dư tại ngày1/1/2021Triệu VND > 120.546,Phát sinh trong năm > Số phải nộpTriệu VND > 507.295,Phát sinh trong năm > Số đã nộpTriệu VND > (566.622),Số dư tại ngày 31/12/2021 > Phải trảTriệu VND > 61.311,Số dư tại ngày 31/12/2021 > Ứng trướcTriệu VND > (92),Số dư tại ngày 31/12/2021 > Tổng cộngTriệu VND > 61.219,numeric__Số dư tại ngày1/1/2021Triệu VND > 120.546,numeric__Phát sinh trong năm > Số phải nộpTriệu VND > 507.295,numeric__Phát sinh trong năm > Số đã nộpTriệu VND > (566.622),numeric__Số dư tại ngày 31/12/2021 > Phải trảTriệu VND > 61.311,numeric__Số dư tại ngày 31/12/2021 > Ứng trướcTriệu VND > (92),numeric__Số dư tại ngày 31/12/2021 > Tổng cộngTriệu VND > 61.219
Thuế TNDN,Thuế TNDN,Thuế TNDN,1.900.069,4.363.435,(5.708.091),555.720,(307),555.413,1900069.0,4363435.0,-5708091.0,555720.0,-307.0,555413.0
Trong đó:,Trong đó:,Trong đó:,,,,,,,,,,,,
- Thuế TNDN của Ngân hàng,Trong đó: > - Thuế TNDN của Ngân hàng,- Thuế TNDN của Ngân hàng,1.900.141,4.363.395,(5.707.816),555.720,-,555.720,1900141.0,4363395.0,-5707816.0,555720.0,,555720.0
- Điều chỉnh thuế các năm trước,Trong đó: > - Điều chỉnh thuế các năm trước,- Điều chỉnh thuế các năm trước,(14),39,(275),-,(250),(250),-14.0,39.0,-275.0,,-250.0,-250.0
- Nghĩa vụ thuế năm 2008 của Vinafico,Trong đó: > - Nghĩa vụ thuế năm 2008 của Vinafico,- Nghĩa vụ thuế năm 2008 của Vinafico,(58),1,-,-,(57),(57),-58.0,1.0,,,-57.0,-57.0
Các loại thuế khác,Trong đó: > Các loại thuế khác,Các loại thuế khác,122.648,1.258.117,(1.241.821),138.946,(2),138.944,122648.0,1258117.0,-1241821.0,138946.0,-2.0,138944.0
,,,2.143.263,6.128.847,(7.516.534),755.977,(401),755.576,2143263.0,6128847.0,-7516534.0,755977.0,-401.0,755576.0
