row_label_raw,row_label_full,STT,Chỉ tiêu,2021Triệu VND,2020Triệu VND,numeric__Chỉ tiêu,numeric__2021Triệu VND,numeric__2020Triệu VND
,,,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định,(1.604.109),(2.986.441),,-1604109.0,-2986441.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",6.192,7.874,,6192.0,7874.0
03,03,03,"Tiền chi cho thanh lý, nhượng bán tài sản cố định",(1.201),(3.053),,-1201.0,-3053.0
04,04,04,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",(201.822),-,,-201822.0,
05,05,05,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",13.791,605.274,,13791.0,605274.0
06,06,06,"Tiền thu cổ tức và lợi nhuận được chia từ các khoảnđầu tư, góp vốn dài hạn",139.949,114.048,,139949.0,114048.0
II,II,II,Lưu chuyển tiền thuần cho hoạt động đầu tư,(1.647.200),(2.262.298),,-1647200.0,-2262298.0
,,,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01,01,01,Cổ tức đã trả cho cổ đông,(1.869.048),(2.967.102),,-1869048.0,-2967102.0
III,III,III,Lưu chuyển tiền thuần cho hoạt động tài chính,(1.869.048),(2.967.102),,-1869048.0,-2967102.0
IV,IV,IV,Lưu chuyển tiền thuần trong năm,(58.323.388),21.046.014,,-58323388.0,21046014.0
V,V,V,Tiền và các khoản tương đương tiềntại thời điểm đầu năm,291.166.400,270.120.386,,291166400.0,270120386.0
VII,VII,VII,Tiền và các khoản tương đương tiềntại thời điểm cuối năm (Thuyết minh 35),232.843.012,291.166.400,,232843012.0,291166400.0
