row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2021,Năm kết thúc ngày 31 tháng 12 năm 2021_1,Miền Bắc (*) > Triệu VND,Miền Trung và Tây Nguyên > Triệu VND,Miền Nam > Triệu VND,Loại trừ > Triệu VND,Tổng cộng > Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2021_1,numeric__Miền Bắc (*) > Triệu VND,numeric__Miền Trung và Tây Nguyên > Triệu VND,numeric__Miền Nam > Triệu VND,numeric__Loại trừ > Triệu VND,numeric__Tổng cộng > Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,87.412.734,16.632.624,48.468.351,(82.575.472),69.938.237,,87412734.0,16632624.0,48468351.0,-82575472.0,69938237.0
2,2,2,Chi phí lãi và các chi phí tương tự,(71.708.479),(9.966.676),(29.077.805),82.575.472,(28.177.488),,-71708479.0,-9966676.0,-29077805.0,82575472.0,-28177488.0
I,I,I,Thu nhập lãi thuần,15.704.255,6.665.948,19.390.546,-,41.760.749,,15704255.0,6665948.0,19390546.0,,41760749.0
3,3,3,Thu nhập từ hoạt động dịch vụ,7.543.187,753.894,2.762.300,(542.067),10.517.314,,7543187.0,753894.0,2762300.0,-542067.0,10517314.0
4,4,4,Chi phí hoạt động dịch vụ,(4.114.217),(38.053),(92.393),542.067,(3.702.596),,-4114217.0,-38053.0,-92393.0,542067.0,-3702596.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,3.428.970,715.841,2.669.907,-,6.814.718,,3428970.0,715841.0,2669907.0,,6814718.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,2.878.519,169.193,1.326.945,-,4.374.657,,2878519.0,169193.0,1326945.0,,4374657.0
IV,IV,IV,Lỗ thuần từ mua bán chứng khoán kinh doanh,(14.205),-,-,-,(14.205),,-14205.0,,,,-14205.0
V,V,V,Lỗ thuần từ mua bán chứng khoán đầu tư,(86.287),-,-,-,(86.287),,-86287.0,,,,-86287.0
5,5,5,Thu nhập từ hoạt động khác,1.347.846,623.009,1.075.582,-,3.046.437,,1347846.0,623009.0,1075582.0,,3046437.0
6,6,6,Chi phí hoạt động khác,(505.524),(85.168),(108.270),-,(698.962),,-505524.0,-85168.0,-108270.0,,-698962.0
VI,VI,VI,Lãi thuần từ hoạt động khác,842.322,537.841,967.312,-,2.347.475,,842322.0,537841.0,967312.0,,2347475.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",143.876,-,-,-,143.876,,143876.0,,,,143876.0
,,,Tổng thu nhập hoạt động,22.897.450,8.088.823,24.354.710,-,55.340.983,,22897450.0,8088823.0,24354710.0,,55340983.0
VIII,VIII,VIII,Chi phí hoạt động,(11.026.730),(1.695.398),(4.431.341),-,(17.153.469),,-11026730.0,-1695398.0,-4431341.0,,-17153469.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,11.870.720,6.393.425,19.923.369,-,38.187.514,,11870720.0,6393425.0,19923369.0,,38187514.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,(9.165.599),(537.820),(2.027.374),-,(11.730.793),,-9165599.0,-537820.0,-2027374.0,,-11730793.0
XI,XI,XI,Tổng lợi nhuận trước thuế,2.705.121,5.855.605,17.895.995,-,26.456.721,,2705121.0,5855605.0,17895995.0,,26456721.0
7,7,7,Chi phí thuế TNDN hiện hành,386.925,(1.171.121),(3.579.199),-,(4.363.395),,386925.0,-1171121.0,-3579199.0,,-4363395.0
8,8,8,Chi phí thuế TNDN hoãn lại,(902.392),-,-,-,(902.392),,-902392.0,,,,-902392.0
XII,XII,XII,Chi phí thuế TNDN,(515.467),(1.171.121),(3.579.199),-,(5.265.787),,-515467.0,-1171121.0,-3579199.0,,-5265787.0
XIII,XIII,XIII,Lợi nhuận sau thuế,2.189.654,4.684.484,14.316.796,-,21.190.934,,2189654.0,4684484.0,14316796.0,,21190934.0
