row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Bản quyền và bằng sáng chếTriệu VND,Tài sản cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Bản quyền và bằng sáng chếTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.475.081,1.664.030,15.213,4.154.324,2475081.0,1664030.0,15213.0,4154324.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,10.702,407.587,-,418.289,10702.0,407587.0,,418289.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,10.702,407.587,-,418.289,10702.0,407587.0,,418289.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(8.620),(675),-,(9.295),-8620.0,-675.0,,-9295.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(664),-,(664),,-664.0,,-664.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(8.620),(11),-,(8.631),-8620.0,-11.0,,-8631.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.477.163,2.070.942,15.213,4.563.318,2477163.0,2070942.0,15213.0,4563318.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,89.844,952.551,-,1.042.395,89844.0,952551.0,,1042395.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,15.825,445.946,-,461.771,15825.0,445946.0,,461771.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,-,(666),-,(666),,-666.0,,-666.0
"- Thanh lý, nhượng bán","Hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(664),-,(664),,-664.0,,-664.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,-,(2),-,(2),,-2.0,,-2.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,105.669,1.397.831,-,1.503.500,105669.0,1397831.0,,1503500.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.385.237,711.479,15.213,3.111.929,2385237.0,711479.0,15213.0,3111929.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.371.494,673.111,15.213,3.059.818,2371494.0,673111.0,15213.0,3059818.0
