row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2021 Triệu VND,31/12/2020 Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2021 Triệu VND,numeric__31/12/2020 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,17.930.467,15.059.581,,4.0,17930467.0,15059581.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,22.310.992,33.009.681,,5.0,22310992.0,33009681.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,227.554.511,268.938.448,,6.0,227554511.0,268938448.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,179.461.016,201.896.086,,,179461016.0,201896086.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,52.093.495,68.042.362,,,52093495.0,68042362.0
3,A > 3,3,Dự phòng rủi ro,,(4.000.000),(1.000.000),,,-4000000.0,-1000000.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,779.371,62.623,,7.0,779371.0,62623.0
1,A > 1,1,Chứng khoán kinh doanh,,799.376,62.623,,,799376.0,62623.0
2,A > 2,2,Dự phòng giảm giá chứng khoán kinh doanh,,(20.005),-,,,-20005.0,
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,303.202,-,,8.0,303202.0,
VI,A > VI,VI,Cho vay khách hàng,,926.140.726,813.701.003,,,926140726.0,813701003.0
1,A > 1,1,Cho vay khách hàng,9,952.018.701,832.876.112,,9.0,952018701.0,832876112.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(25.877.975),(19.175.109),,10.0,-25877975.0,-19175109.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,11,170.396.896,156.923.184,,11.0,170396896.0,156923184.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,71.014.312,42.140.641,,,71014312.0,42140641.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,99.557.595,115.382.544,,,99557595.0,115382544.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(175.011),(600.001),,,-175011.0,-600001.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",,5.703.686,5.511.728,,,5703686.0,5511728.0
1,A > 1,1,Đầu tư vào công ty con,12(a),3.560.600,3.442.280,,,3560600.0,3442280.0
2,A > 2,2,Vốn góp liên doanh,12(b),545.515,545.515,,,545515.0,545515.0
3,A > 3,3,Đầu tư vào công ty liên kết,12(c),11.110,11.110,,,11110.0,11110.0
4,A > 4,4,Đầu tư dài hạn khác,12(d),1.661.461,1.587.823,,,1661461.0,1587823.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,12(e),(75.000),(75.000),,,-75000.0,-75000.0
X,A > X,X,Tài sản cố định,,8.372.476,8.230.592,,,8372476.0,8230592.0
1,A > 1,1,Tài sản cố định hữu hình,13,5.312.658,5.118.663,,13.0,5312658.0,5118663.0
a,A > a,a,Nguyên giá tài sản cố định,,12.768.914,11.926.789,,,12768914.0,11926789.0
b,A > b,b,Hao mòn tài sản cố định,,(7.456.256),(6.808.126),,,-7456256.0,-6808126.0
3,A > 3,3,Tài sản cố định vô hình,14,3.059.818,3.111.929,,14.0,3059818.0,3111929.0
a,A > a,a,Nguyên giá tài sản cố định,,4.563.318,4.154.324,,,4563318.0,4154324.0
b,A > b,b,Hao mòn tài sản cố định,,(1.503.500),(1.042.395),,,-1503500.0,-1042395.0
XII,A > XII,XII,Tài sản Có khác,,27.341.287,19.365.737,,,27341287.0,19365737.0
1,A > 1,1,Các khoản phải thu,15(a),14.140.828,6.171.215,,,14140828.0,6171215.0
2,A > 2,2,"Các khoản lãi, phí phải thu",15(b),6.955.958,7.081.361,,,6955958.0,7081361.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,15(c),-,902.392,,,,902392.0
4,A > 4,4,Tài sản Có khác,15(d),6.244.501,5.210.814,,,6244501.0,5210814.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,15(d),-,(45),,,,-45.0
,,,TỔNG TÀI SẢN CÓ,,1.406.833.614,1.320.802.577,,,1406833614.0,1320802577.0
