row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Tổng cộngTriệu VND,numeric__Chưa quá hạn và chưa bị giảm giá Triệu VND,numeric__Đã quá hạn nhưng chưa bị giảm giá Triệu VND,numeric__Đã bị giảm giá và trích lập dự phòng Triệu VND,numeric__Tổng cộngTriệu VND
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,22.310.992,-,-,22.310.992,22310992.0,,,22310992.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,227.554.511,-,4.000.000,231.554.511,227554511.0,,4000000.0,231554511.0
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,179.461.016,-,-,179.461.016,179461016.0,,,179461016.0
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,48.093.495,-,4.000.000,52.093.495,48093495.0,,4000000.0,52093495.0
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,799.376,-,-,799.376,799376.0,,,799376.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,906.481.699,9.411.101,36.125.901,952.018.701,906481699.0,9411101.0,36125901.0,952018701.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,170.571.907,-,-,170.571.907,170571907.0,,,170571907.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,71.014.312,-,-,71.014.312,71014312.0,,,71014312.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,99.557.595,-,-,99.557.595,99557595.0,,,99557595.0
Tài sân Có khác,Tài sân Có khác,Tài sân Có khác,21.874.898,-,-,21.874.898,21874898.0,,,21874898.0
,,,1.349.593.383,9.411.101,40.125.901,1.399.130.385,1349593383.0,9411101.0,40125901.0,1399130385.0
