row_label_raw,row_label_full,col_0,col_1,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 tháng đến 6 tháng,numeric__Từ trên 6 tháng đến 12 tháng,numeric__Từ trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,,
I,Tài sản > I,I,"Tiền mặt, vàng bạc, đá quý",-,17.930.467,-,-,-,-,-,-,17.930.467,,,17930467.0,,,,,,,17930467.0
II,Tài sản > II,II,Tiền gửi tại NHNNVN,-,-,22.310.992,-,-,-,-,-,22.310.992,,,,22310992.0,,,,,,22310992.0
III,Tài sản > III,III,Tiền gửi và cho vay các TCTD khác – gộp,-,-,185.663.256,34.883.903,7.715.554,3.291.798,-,-,231.554.511,,,,185663256.0,34883903.0,7715554.0,3291798.0,,,231554511.0
IV,Tài sản > IV,IV,Chứng khoán kinh doanh – gộp,-,-,799.376,-,-,-,-,-,799.376,,,,799376.0,,,,,,799376.0
V,Tài sản > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,303.202,-,-,-,-,-,-,303.202,,,303202.0,,,,,,,303202.0
VI,Tài sản > VI,VI,Cho vay khách hàng – gộp,14.972.458,-,167.469.848,309.463.962,258.348.067,98.516.340,98.299.142,4.948.884,952.018.701,,14972458.0,,167469848.0,309463962.0,258348067.0,98516340.0,98299142.0,4948884.0,952018701.0
VII,Tài sản > VII,VII,Chứng khoán đầu tư – gộp,-,-,2.011.059,3.324.665,17.325.548,16.855.031,102.558.355,28.497.249,170.571.907,,,,2011059.0,3324665.0,17325548.0,16855031.0,102558355.0,28497249.0,170571907.0
VIII,Tài sản > VIII,VIII,"Gộp vốn, đầu tư dài hạn – gộp",-,5.778.686,-,-,-,-,-,-,5.778.686,,,5778686.0,,,,,,,5778686.0
IX,Tài sản > IX,IX,Tài sản cố định,-,8.372.476,-,-,-,-,-,-,8.372.476,,,8372476.0,,,,,,,8372476.0
X,Tài sản > X,X,Tài sản Có khác – gộp,-,27.341.287,-,-,-,-,-,-,27.341.287,,,27341287.0,,,,,,,27341287.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,Tổng tài sản,14.972.458,59.726.118,378.254.531,347.672.530,283.389.169,118.663.169,200.857.497,33.446.133,1.436.981.605,,14972458.0,59726118.0,378254531.0,347672530.0,283389169.0,118663169.0,200857497.0,33446133.0,1436981605.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
I,Nợ phải trả > I,I,Các khoản nợ Chính phủ và NHNNVN và tiền gửi và vay các TCTD khác,-,-,104.687.768,8.751.536,1.225.548,382.064,-,-,115.046.916,,,,104687768.0,8751536.0,1225548.0,382064.0,,,115046916.0
II,Nợ phải trả > II,II,Tiền gửi của khách hàng,-,-,642.540.192,170.989.567,128.533.086,175.222.233,19.474.430,-,1.136.759.508,,,,642540192.0,170989567.0,128533086.0,175222233.0,19474430.0,,1136759508.0
IV,Nợ phải trả > IV,IV,"Vốn tài trợ, uy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,-,-,-,7.707,-,7.707,,,,,,,,7707.0,,7707.0
V,Nợ phải trả > V,V,Phát hành giấy tờ có giá,-,-,459,-,3.000.000,6.048.750,2.999.770,5.365.000,17.413.979,,,,459.0,,3000000.0,6048750.0,2999770.0,5365000.0,17413979.0
VI,Nợ phải trả > VI,VI,Các khoản nợ phải trả khác,-,30.275.608,739.171,67.446,-,-,-,-,31.082.225,,,30275608.0,739171.0,67446.0,,,,,31082225.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,-,30.275.608,747.967.590,179.808.549,132.758.634,181.653.047,22.481.907,5.365.000,1.300.310.335,,,30275608.0,747967590.0,179808549.0,132758634.0,181653047.0,22481907.0,5365000.0,1300310335.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,14.972.458,29.450.510,(369.713.059),167.863.981,150.630.535,(62.989.878),178.375.590,28.081.133,136.671.270,,14972458.0,29450510.0,-369713059.0,167863981.0,150630535.0,-62989878.0,178375590.0,28081133.0,136671270.0
