row_label_raw,row_label_full,col_0,col_1,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
,,,,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ trên 1 tháng đến 3 tháng,Từ trên 3 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,,,,,,,,,
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
,,,Tài sản,,,,,,,,,,,,,,,,,
I,I,I,"Tiền mặt, vàng bạc, đá quý",-,-,17.930.467,-,-,-,-,17.930.467,,,,17930467.0,,,,,17930467.0
II,II,II,Tiền gửi tại NHNNVN,-,-,22.310.992,-,-,-,-,22.310.992,,,,22310992.0,,,,,22310992.0
III,III,III,Tiền gửi và cho vay các TCTD khác – gộp,-,-,185.663.256,34.883.903,10.332.042,675.310,-,231.554.511,,,,185663256.0,34883903.0,10332042.0,675310.0,,231554511.0
IV,IV,IV,Chứng khoán kinh doanh – gộp,-,-,799.376,-,-,-,-,799.376,,,,799376.0,,,,,799376.0
V,V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,303.202,-,-,-,303.202,,,,,303202.0,,,,303202.0
VI,VI,VI,Cho vay khách hàng – gộp,2.277.094,12.695.364,57.925.671,181.941.880,306.375.987,151.176.899,239.625.806,952.018.701,,2277094.0,12695364.0,57925671.0,181941880.0,306375987.0,151176899.0,239625806.0,952018701.0
VII,VII,VII,Chứng khoán đầu tư – gộp,-,-,961.059,2.716.665,21.655.579,106.236.355,39.002.249,170.571.907,,,,961059.0,2716665.0,21655579.0,106236355.0,39002249.0,170571907.0
VIII,VIII,VIII,"Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,5.778.686,5.778.686,,,,,,,,5778686.0,5778686.0
IX,IX,IX,Tài sản cố định,-,-,-,-,-,-,8.372.476,8.372.476,,,,,,,,8372476.0,8372476.0
X,X,X,Tài sản Có khác – gộp,-,-,-,27.341.287,-,-,-,27.341.287,,,,,27341287.0,,,,27341287.0
,,,Tổng tài sản,2.277.094,12.695.364,285.590.821,247.186.937,338.363.608,258.088.564,292.779.217,1.436.981.605,,2277094.0,12695364.0,285590821.0,247186937.0,338363608.0,258088564.0,292779217.0,1436981605.0
,,,Nợ phải trả,,,,,,,,,,,,,,,,,
I,I,I,Các khoản nợ Chính phủ và NHNNVN và tiền gửi và vay các TCTD khác,-,-,104.354.126,8.753.113,1.634.460,262.097,43.120,115.046.916,,,,104354126.0,8753113.0,1634460.0,262097.0,43120.0,115046916.0
II,II,II,Tiền gửi của khách hàng,-,-,284.695.434,186.723.686,322.274.896,46.044.796,297.020.696,1.136.759.508,,,,284695434.0,186723686.0,322274896.0,46044796.0,297020696.0,1136759508.0
IV,IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,-,-,7.707,-,7.707,,,,,,,7707.0,,7707.0
V,V,V,Phát hành giấy tờ cố giá,-,-,905,-,3.000.000,5.788.750,8.624.324,17.413.979,,,,905.0,,3000000.0,5788750.0,8624324.0,17413979.0
VI,VI,VI,Các khoản nợ phải trả khác,-,-,3.516.184,19.549.952,7.078.607,-,937.482,31.082.225,,,,3516184.0,19549952.0,7078607.0,,937482.0,31082225.0
,,,Tổng nợ phải trả,-,-,392.566.649,215.026.751,333.987.963,52.103.350,306.625.622,1.300.310.335,,,,392566649.0,215026751.0,333987963.0,52103350.0,306625622.0,1300310335.0
,,,Mức chênh thanh khoản ròng,2.277.094,12.695.364,(106.975.828),32.160.186,4.375.645,205.985.214,(13.846.405),136.671.270,,2277094.0,12695364.0,-106975828.0,32160186.0,4375645.0,205985214.0,-13846405.0,136671270.0
