row_label_raw,row_label_full,Bên cho vay,Hợp đồng,Hạn mức/Số tiền vay,Thời hạn vay,Lãi suất %/Năm,Mục đích vay,Hình thức đảm bảo,numeric__Hợp đồng,numeric__Hạn mức/Số tiền vay,numeric__Thời hạn vay,numeric__Lãi suất %/Năm,numeric__Mục đích vay,numeric__Hình thức đảm bảo
Ngân hàng Á Châu An Giang,Ngân hàng Á Châu An Giang,Ngân hàng Á Châu An Giang,ANG.DN149030614,60.000.000.000,48,"11,00",DA Tân Hiệp,,,60000000000.0,48.0,11.0,,
Ngân hàng Á Châu An Giang,Ngân hàng Á Châu An Giang,Ngân hàng Á Châu An Giang,ANG.DN1500814,210.000.000.000,72,"11,00",DA Bình Khánh,,,210000000000.0,72.0,11.0,,
Ngân hàng TMCP Bản Việt An Giang,Ngân hàng TMCP Bản Việt An Giang,Ngân hàng TMCP Bản Việt An Giang,003/2013,25.000.000.000,60,"10,00",DA Tri Tôn,Thế chấp bằng tài sản hình thành từ dự án,,25000000000.0,60.0,10.0,,
Ngân hàng TMCP Liên Việt An Giang,Ngân hàng TMCP Liên Việt An Giang,Ngân hàng TMCP Liên Việt An Giang,015/2015/AG,100.000.000.000,60,"12,00",DA Bình Khánh,Thế chấp bằng tài sản hình thành từ dự án,,100000000000.0,60.0,12.0,,
Ngân hàng Ngoại thương An Giang,Ngân hàng Ngoại thương An Giang,Ngân hàng Ngoại thương An Giang,108/2012,27.000.000.000,60,"10,00",DA Hội An,Thế chấp bằng tài sản hình thành từ dự án,,27000000000.0,60.0,10.0,,
Ngân hàng Ngoại thương An Giang,Ngân hàng Ngoại thương An Giang,Ngân hàng Ngoại thương An Giang,37/2012,8.500.000.000,60,"10,00",DA Trụ Sở,Thế chấp bằng tài sản hình thành từ dự án,,8500000000.0,60.0,10.0,,
Ngân hàng Ngoại thương An Giang,Ngân hàng Ngoại thương An Giang,Ngân hàng Ngoại thương An Giang,130/2012,75.000.000.000,120,"10,00",KDC Ngọc Hầu,Thế chấp bằng tài sản hình thành từ dự án,,75000000000.0,120.0,10.0,,
Ngân hàng Ngoại thương An Giang,Ngân hàng Ngoại thương An Giang,Ngân hàng Ngoại thương An Giang,271/2012,10.000.000.000,60,"10,00",Khu TD TT,Thế chấp bằng tài sản hình thành từ dự án,,10000000000.0,60.0,10.0,,
Ngân hàng TMCP Phương Đông An Giang,Ngân hàng TMCP Phương Đông An Giang,Ngân hàng TMCP Phương Đông An Giang,272/2013,30.000.000.000,36,"11,00",DA Tri Tôn,Thế chấp bằng tài sản hình thành từ dự án,,30000000000.0,36.0,11.0,,
Ngân hàng TMCP Tiên Phong An Giang,Ngân hàng TMCP Tiên Phong An Giang,Ngân hàng TMCP Tiên Phong An Giang,0274-10.14,25.000.000.000,35,"11,00",DA Bình Khánh,Thế chấp bằng tài sản hình thành từ dự án,,25000000000.0,35.0,11.0,,
Ngân hàng TMCP Tiên Phong An Giang,Ngân hàng TMCP Tiên Phong An Giang,Ngân hàng TMCP Tiên Phong An Giang,58/2016,100.000.000.000,60,"12,20",DA Thanh Hoá,Thế chấp bằng tài sản hình thành từ dự án,,100000000000.0,60.0,12.2,,
- Ngân hàng TMCP Quốc Dân An Giang,- Ngân hàng TMCP Quốc Dân An Giang,- Ngân hàng TMCP Quốc Dân An Giang,063/16,23.200.000.000,84,"12,50",Khách sạn Bảo Giang,Quyền sử dụng đất,,23200000000.0,84.0,12.5,,
