row_label_raw,row_label_full,col_0,col_1,31/12/2016 > Giá trị,31/12/2016 > Số có khả năng trả nợ,Đơn vị tính: VND01/01/2016 > Giá trị,Đơn vị tính: VND01/01/2016 > Số có khả năng trả nợ,numeric__col_1,numeric__31/12/2016 > Giá trị,numeric__31/12/2016 > Số có khả năng trả nợ,numeric__Đơn vị tính: VND01/01/2016 > Giá trị,numeric__Đơn vị tính: VND01/01/2016 > Số có khả năng trả nợ
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,205.353.294.657,205.353.294.657,74.369.561.589,74.369.561.589,,205353294657.0,205353294657.0,74369561589.0,74369561589.0
+ Công Ty Cổ phần Đa Quốc Gia IDI,+ Công Ty Cổ phần Đa Quốc Gia IDI,+ Công Ty Cổ phần Đa Quốc Gia IDI,+ Công Ty Cổ phần Đa Quốc Gia IDI,2.886.891.980,2.886.891.980,14.372.705.114,14.372.705.114,,2886891980.0,2886891980.0,14372705114.0,14372705114.0
+ Cty TNHH 1TV Toàn Cầu,+ Cty TNHH 1TV Toàn Cầu,+ Cty TNHH 1TV Toàn Cầu,+ Cty TNHH 1TV Toàn Cầu,3.184.181.262,3.184.181.262,10.868.191.594,10.868.191.594,,3184181262.0,3184181262.0,10868191594.0,10868191594.0
+ Công ty Seatecco,+ Công ty Seatecco,+ Công ty Seatecco,+ Công ty Seatecco,29.703.496.630,29.703.496.630,26.204.839.780,26.204.839.780,,29703496630.0,29703496630.0,26204839780.0,26204839780.0
+ Cty TNHH JIANGSU MUYANG HOLDINGS,+ Cty TNHH JIANGSU MUYANG HOLDINGS,+ Cty TNHH JIANGSU MUYANG HOLDINGS,+ Cty TNHH JIANGSU MUYANG HOLDINGS,64.436.923.000,64.436.923.000,,,,64436923000.0,64436923000.0,,
+ Khách hàng khác,+ Khách hàng khác,+ Khách hàng khác,+ Khách hàng khác,105.141.801.785,105.141.801.785,22.923.825.101,22.923.825.101,,105141801785.0,105141801785.0,22923825101.0,22923825101.0
b) Dải hạn,b) Dải hạn,b) Dải hạn,b) Dải hạn,,,,,,,,,
Cộng,b) Dải hạn > Cộng,Cộng,Cộng,205.353.294.657,205.353.294.657,74.369.561.589,74.369.561.589,,205353294657.0,205353294657.0,74369561589.0,74369561589.0
c) Số nợ quá hạn chưa thanh toán: không có,c) Số nợ quá hạn chưa thanh toán: không có,c) Số nợ quá hạn chưa thanh toán: không có,c) Số nợ quá hạn chưa thanh toán: không có,,,,,,,,,
d) Phải trả người bán là các bên liên quan,d) Phải trả người bán là các bên liên quan,d) Phải trả người bán là các bên liên quan,d) Phải trả người bán là các bên liên quan,31/12/2016,31/12/2016,01/01/2016,01/01/2016,,,,,
Đối tượng,Đối tượng,Đối tượng,Mối quan hệ,Giá trị,Số có khả năng trả nợ,Giá trị,Số có khả năng trả nợ,,,,,
Công ty CP Đầu tư và phát triển Đa Quốc Gia IDI,Đối tượng > Công ty CP Đầu tư và phát triển Đa Quốc Gia IDI,Công ty CP Đầu tư và phát triển Đa Quốc Gia IDI,Cty Liên kết,2.886.891.980,2.886.891.980,14.372.705.114,14.372.705.114,,2886891980.0,2886891980.0,14372705114.0,14372705114.0
Công ty CP Du lịch Đồng Tháp,Đối tượng > Công ty CP Du lịch Đồng Tháp,Công ty CP Du lịch Đồng Tháp,Công ty CP Du lịch Đồng Tháp,255.847.000,255.847.000,,,,255847000.0,255847000.0,,
