row_label_raw,row_label_full,"TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_1","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_2","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_3","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_4","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_5","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_6","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_1","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_2","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_3","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_4","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_5","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_6"
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Thiết bị quản lý,TSCĐ khác,Cộng,,,,,,
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,98.606.615.348,1.543.030.427,6.764.872.993,2.182.846.389,,109.097.365.157,98606615348.0,1543030427.0,6764872993.0,2182846389.0,,109097365157.0
2. Số tăng trong năm,I. Nguyên giá > 2. Số tăng trong năm,2. Số tăng trong năm,28.092.610.000,42.718.182,10.170.173.636,1.198.505.735,,39.504.007.553,28092610000.0,42718182.0,10170173636.0,1198505735.0,,39504007553.0
- Mua trong năm,I. Nguyên giá > - Mua trong năm,- Mua trong năm,28.092.610.000,42.718.182,10.170.173.636,1.151.505.735,,39.457.007.553,28092610000.0,42718182.0,10170173636.0,1151505735.0,,39457007553.0
- Tăng khác,I. Nguyên giá > - Tăng khác,- Tăng khác,,,,47.000.000,,47.000.000,,,,47000000.0,,47000000.0
3. Số giảm trong năm,I. Nguyên giá > 3. Số giảm trong năm,3. Số giảm trong năm,95.891.276.286,51.578.000,1.820.059.935,513.263.973,,98.276.178.194,95891276286.0,51578000.0,1820059935.0,513263973.0,,98276178194.0
- Chuyển sang BĐS đầu tư,I. Nguyên giá > - Chuyển sang BĐS đầu tư,- Chuyển sang BĐS đầu tư,95.891.276.286,,,,,95.891.276.286,95891276286.0,,,,,95891276286.0
"- Thanh lý, nhượng bán","I. Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,51.578.000,1.820.059.935,513.263.973,,2.384.901.908,,51578000.0,1820059935.0,513263973.0,,2384901908.0
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,,,,,
4. Số dư cuối năm,- Giảm khác > 4. Số dư cuối năm,4. Số dư cuối năm,30.807.949.062,1.534.170.609,15.114.986.694,2.868.088.151,,50.325.194.516,30807949062.0,1534170609.0,15114986694.0,2868088151.0,,50325194516.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,,
1. Số dư đầu năm,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu năm,1. Số dư đầu năm,21.984.648.389,936.671.669,4.298.980.427,1.277.580.177,,28.497.880.662,21984648389.0,936671669.0,4298980427.0,1277580177.0,,28497880662.0
2. Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong năm,2. Khấu hao trong năm,3.213.869.826,253.383.312,1.917.435.944,422.175.329,,5.806.864.411,3213869826.0,253383312.0,1917435944.0,422175329.0,,5806864411.0
- Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,3.213.869.826,253.383.312,1.917.435.944,422.175.329,,5.806.864.411,3213869826.0,253383312.0,1917435944.0,422175329.0,,5806864411.0
3. Giảm trong năm,II. Giá trị hao mòn luỹ kế > 3. Giảm trong năm,3. Giảm trong năm,20.590.893.646,51.578.000,1.646.161.935,513.263.973,,22.801.897.554,20590893646.0,51578000.0,1646161935.0,513263973.0,,22801897554.0
- Chuyển sang BĐS đầu tư,II. Giá trị hao mòn luỹ kế > - Chuyển sang BĐS đầu tư,- Chuyển sang BĐS đầu tư,20.590.893.646,,,,,20.590.893.646,20590893646.0,,,,,20590893646.0
"- Thanh lý, nhượng bán","II. Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,51.578.000,1.646.161.935,513.263.973,,2.211.003.908,,51578000.0,1646161935.0,513263973.0,,2211003908.0
4. Số dư cuối năm,II. Giá trị hao mòn luỹ kế > 4. Số dư cuối năm,4. Số dư cuối năm,4.607.624.569,1.138.476.981,4.570.254.436,1.186.491.533,,11.502.847.519,4607624569.0,1138476981.0,4570254436.0,1186491533.0,,11502847519.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,76.621.966.959,606.358.758,2.465.892.566,905.266.212,,80.599.484.495,76621966959.0,606358758.0,2465892566.0,905266212.0,,80599484495.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,26.200.324.493,395.693.628,10.544.732.258,1.681.596.618,,38.822.346.997,26200324493.0,395693628.0,10544732258.0,1681596618.0,,38822346997.0
