row_label_raw,row_label_full,16.2. Chi tiết vốn góp của chủ sở hữu,31/12/2016,%,01/01/2016,%_1,numeric__31/12/2016,numeric__%,numeric__01/01/2016,numeric__%_1
Vốn góp của Nhà nước,Vốn góp của Nhà nước,Vốn góp của Nhà nước,,,,,,,,
Vốn góp của các đối tượng khác,Vốn góp của Nhà nước > Vốn góp của các đối tượng khác,Vốn góp của các đối tượng khác,2.199.398.670.000,"100,00%",2.199.398.670.000,"100,00%",2199398670000.0,1.0,2199398670000.0,1.0
Cộng,Vốn góp của Nhà nước > Cộng,Cộng,2.199.398.670.000,"100,00%",2.199.398.670.000,"100,00%",2199398670000.0,1.0,2199398670000.0,1.0
