row_label_raw,row_label_full,col_0,Giá trị sổ sách > 31/12/2016 > Giá trị,Giá trị sổ sách > 31/12/2016 > Dự phòng,Giá trị sổ sách > 01/01/2016 > Giá trị,Giá trị sổ sách > 01/01/2016 > Dự phòng,Giá trị hợp lý > 31/12/2016 > Giá trị,Giá trị hợp lý > 01/01/2016 > Giá trị,numeric__Giá trị sổ sách > 31/12/2016 > Giá trị,numeric__Giá trị sổ sách > 31/12/2016 > Dự phòng,numeric__Giá trị sổ sách > 01/01/2016 > Giá trị,numeric__Giá trị sổ sách > 01/01/2016 > Dự phòng,numeric__Giá trị hợp lý > 31/12/2016 > Giá trị,numeric__Giá trị hợp lý > 01/01/2016 > Giá trị
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,205.094.795.946,,470.480.211.671,,205.094.795.946,470.480.211.671,205094795946.0,,470480211671.0,,205094795946.0,470480211671.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,351.568.648.030,,341.005.305.484,,351.568.648.030,341.005.305.484,351568648030.0,,341005305484.0,,351568648030.0,341005305484.0
Trà trước cho người bán,Tài sản tài chính > Trà trước cho người bán,Trà trước cho người bán,840.897.111.408,,1.028.788.727.047,,840.897.111.408,1.028.788.727.047,840897111408.0,,1028788727047.0,,840897111408.0,1028788727047.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,149.322.889.330,,132.344.458.449,,149.322.889.330,132.344.458.449,149322889330.0,,132344458449.0,,149322889330.0,132344458449.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,372.139.724.107,,,,372.139.724.107,-,372139724107.0,,,,372139724107.0,
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,1.298.849.179.800,(7.483.596.603),659.020.679.800,(4.936.347.547),1.291.365.583.197,654.084.332.253,1298849179800.0,-7483596603.0,659020679800.0,-4936347547.0,1291365583197.0,654084332253.0
Cộng,Tài sản tài chính > Cộng,Cộng,3.217.872.348.621,(7.483.596.603),2.631.639.382.451,(4.936.347.547),3.210.388.752.018,2.626.703.034.904,3217872348621.0,-7483596603.0,2631639382451.0,-4936347547.0,3210388752018.0,2626703034904.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,205.353.294.657,,74.369.561.589,,205.353.294.657,74.369.561.589,205353294657.0,,74369561589.0,,205353294657.0,74369561589.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,672.265.922.110,,261.271.670.424,,672.265.922.110,261.271.670.424,672265922110.0,,261271670424.0,,672265922110.0,261271670424.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,1.039.536.181.159,,978.785.052.306,,1.039.536.181.159,978.785.052.306,1039536181159.0,,978785052306.0,,1039536181159.0,978785052306.0
Các khoản phải trả khác,Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,82.630.353.866,,57.090.959.867,,82.630.353.866,57.090.959.867,82630353866.0,,57090959867.0,,82630353866.0,57090959867.0
Cộng,Nợ phải trả tài chính > Cộng,Cộng,2.000.058.242.692,-,1.371.517.244.186,-,2.000.058.242.692,1.371.517.244.186,2000058242692.0,,1371517244186.0,,2000058242692.0,1371517244186.0
Giá trị hợp lý của các tài sản tài chính và nợ phải trả tài chính được phân ánh theo giá trị mà công cụ tài chính có thể được chuyển đổi trong một giao dịch hiện tại giữa các bên có đầy đủ hiểu biết và mong muốn giao dịch.,Giá trị hợp lý của các tài sản tài chính và nợ phải trả tài chính được phân ánh theo giá trị mà công cụ tài chính có thể được chuyển đổi trong một giao dịch hiện tại giữa các bên có đầy đủ hiểu biết và mong muốn giao dịch.,Giá trị hợp lý của các tài sản tài chính và nợ phải trả tài chính được phân ánh theo giá trị mà công cụ tài chính có thể được chuyển đổi trong một giao dịch hiện tại giữa các bên có đầy đủ hiểu biết và mong muốn giao dịch.,Giá trị hợp lý của các tài sản tài chính và nợ phải trả tài chính được phân ánh theo giá trị mà công cụ tài chính có thể được chuyển đổi trong một giao dịch hiện tại giữa các bên có đầy đủ hiểu biết và mong muốn giao dịch.,Giá trị hợp lý của các tài sản tài chính và nợ phải trả tài chính được phân ánh theo giá trị mà công cụ tài chính có thể được chuyển đổi trong một giao dịch hiện tại giữa các bên có đầy đủ hiểu biết và mong muốn giao dịch.,Giá trị hợp lý của các tài sản tài chính và nợ phải trả tài chính được phân ánh theo giá trị mà công cụ tài chính có thể được chuyển đổi trong một giao dịch hiện tại giữa các bên có đầy đủ hiểu biết và mong muốn giao dịch.,Giá trị hợp lý của các tài sản tài chính và nợ phải trả tài chính được phân ánh theo giá trị mà công cụ tài chính có thể được chuyển đổi trong một giao dịch hiện tại giữa các bên có đầy đủ hiểu biết và mong muốn giao dịch.,Giá trị hợp lý của các tài sản tài chính và nợ phải trả tài chính được phân ánh theo giá trị mà công cụ tài chính có thể được chuyển đổi trong một giao dịch hiện tại giữa các bên có đầy đủ hiểu biết và mong muốn giao dịch.,Giá trị hợp lý của các tài sản tài chính và nợ phải trả tài chính được phân ánh theo giá trị mà công cụ tài chính có thể được chuyển đổi trong một giao dịch hiện tại giữa các bên có đầy đủ hiểu biết và mong muốn giao dịch.,,,,,,
Cộng,Giá trị hợp lý của các tài sản tài chính và nợ phải trả tài chính được phân ánh theo giá trị mà công cụ tài chính có thể được chuyển đổi trong một giao dịch hiện tại giữa các bên có đầy đủ hiểu biết và mong muốn giao dịch. > Cộng,Cộng,2.000.058.242.692,-,1.371.517.244.186,-,2.000.058.242.692,1.371.517.244.186,2000058242692.0,,1371517244186.0,,2000058242692.0,1371517244186.0
