row_label_raw,row_label_full,col_0,31/12/2016,31/12/2016_1,01/01/2016,01/01/2016_1,col_5,col_6,numeric__31/12/2016,numeric__31/12/2016_1,numeric__01/01/2016,numeric__01/01/2016_1,numeric__col_5,numeric__col_6
,,,"a) Ngắn hạnb) Dài hạnCông cụ, dụng cụ xuất dùngCác khoản khácCộng",14.664.434.0761.602.422.57213.062.011.50414.664.434.076,11.205.738.502964.212.44910.241.526.05311.205.738.502,,,,,1.4664434076160242e+42,1.1205738502964212e+41,,,
11 . VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn,11 . VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn,11 . VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn,31/12/2016,31/12/2016,Trongkỳ,Trongkỳ,01/01/2016,01/01/2016,,,,,,
11 . VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn,11 . VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn,11 . VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
Vay ngắn hạn - VND,11 . VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn > Vay ngắn hạn - VND,Vay ngắn hạn - VND,518.077.874.801,518.077.874.801,1.052.918.944.486,986.038.582.991,451.197.513.306,451.197.513.306,518077874801.0,518077874801.0,1052918944486.0,986038582991.0,451197513306.0,451197513306.0
- Ngân hàng BIDV-KG,11 . VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn > - Ngân hàng BIDV-KG,- Ngân hàng BIDV-KG,229.300.000.000,229.300.000.000,387.800.000.000,232.000.000.000,73.500.000.000,73.500.000.000,229300000000.0,229300000000.0,387800000000.0,232000000000.0,73500000000.0,73500000000.0
- Ngân hàng BIDV-NKKN,11 . VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn > - Ngân hàng BIDV-NKKN,- Ngân hàng BIDV-NKKN,,,,144.968.369.080,144.968.369.080,144.968.369.080,,,,144968369080.0,144968369080.0,144968369080.0
- Ngân hàng Việt Á - CN SG,11 . VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn > - Ngân hàng Việt Á - CN SG,- Ngân hàng Việt Á - CN SG,155.326.793.120,155.326.793.120,349.637.054.220,289.469.087.100,95.158.826.000,95.158.826.000,155326793120.0,155326793120.0,349637054220.0,289469087100.0,95158826000.0,95158826000.0
- Ngân hàng Tiên Phong,11 . VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn > - Ngân hàng Tiên Phong,- Ngân hàng Tiên Phong,95.902.226.981,95.902.226.981,242.714.205.566,246.054.223.585,99.242.245.000,99.242.245.000,95902226981.0,95902226981.0,242714205566.0,246054223585.0,99242245000.0,99242245000.0
- Ngân hàng VP Bank TP HCM,11 . VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn > - Ngân hàng VP Bank TP HCM,- Ngân hàng VP Bank TP HCM,37.548.854.700,37.548.854.700,72.767.684.700,73.546.903.226,38.328.073.226,38.328.073.226,37548854700.0,37548854700.0,72767684700.0,73546903226.0,38328073226.0,38328073226.0
Vay ngắn hạn - USDCộng,11 . VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn > Vay ngắn hạn - USDCộng,Vay ngắn hạn - USDCộng,518.077.874.801,518.077.874.801,1.052.918.944.486,986.038.582.991,451.197.513.306,451.197.513.306,518077874801.0,518077874801.0,1052918944486.0,986038582991.0,451197513306.0,451197513306.0
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,31/12/2016,31/12/2016,Trongkỳ,Trongkỳ,01/01/2016,01/01/2016,,,,,,
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
Trên 1 năm đến 5 năm,b) Vay dài hạn > Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,514.593.176.358,514.593.176.358,269.837.773.000,274.667.005.642,519.422.409.000,519.422.409.000,514593176358.0,514593176358.0,269837773000.0,274667005642.0,519422409000.0,519422409000.0
- Ngân hàng Á Châu An Giang,b) Vay dài hạn > - Ngân hàng Á Châu An Giang,- Ngân hàng Á Châu An Giang,184.783.514.800,184.783.514.800,,62.104.000.000,246.887.514.800,246.887.514.800,184783514800.0,184783514800.0,,62104000000.0,246887514800.0,246887514800.0
- Ngân hàng TMCP Bản Việt An Giang,b) Vay dài hạn > - Ngân hàng TMCP Bản Việt An Giang,- Ngân hàng TMCP Bản Việt An Giang,9.365.000.000,9.365.000.000,,6.260.000.000,15.625.000.000,15.625.000.000,9365000000.0,9365000000.0,,6260000000.0,15625000000.0,15625000000.0
