row_label_raw,row_label_full,Mã số NGUỒN VỐN,Mã số NGUỒN VỐN_1,Thuyết minh,31/12/2016,01/01/2016,numeric__Mã số NGUỒN VỐN_1,numeric__Thuyết minh,numeric__31/12/2016,numeric__01/01/2016
400,400,400,D . VỐN CHỦ SỞ HỮU,V.16,2.523.771.792.341,2.360.234.497.150,,,2523771792341.0,2360234497150.0
410,410,410,I. Vốn chủ sở hữu,,2.523.771.792.341,2.360.234.497.150,,,2523771792341.0,2360234497150.0
411,411,411,1. Vốn đầu tư của chủ sở hữu,,2.199.398.670.000,2.199.398.670.000,,,2199398670000.0,2199398670000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,2.199.398.670.000,2.199.398.670.000,,,2199398670000.0,2199398670000.0
411b,411b,411b,- Cổ phiếu ưu đãi,,,,,,,
412,411b > 412,412,2. Thặng dư vốn cổ phần,,45.056.200.000,45.056.200.000,,,45056200000.0,45056200000.0
413,413,413,3. Quyền chọn chuyển đổi trái phiếu,,,,,,,
414,414,414,4. Vốn khác của chủ sở hữu,,,,,,,
415,415,415,5. Cổ phiếu quỹ (*),,,,,,,
416,416,416,6. Chênh lệch đánh giá lại tài sản,,,,,,,
417,417,417,7. Chênh lệch tỷ giá hối đoái,,,,,,,
418,417 > 418,418,8. Quỹ đầu tư phát triển,,35.601.244.042,29.741.625.938,,,35601244042.0,29741625938.0
419,417 > 419,419,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,4.971.647.795,4.971.647.795,,,4971647795.0,4971647795.0
420,417 > 420,420,10. Quỹ khác thuộc vốn chủ sở hữu,,238.744.030.504,81.066.353.417,,,238744030504.0,81066353417.0
421,417 > 421,421,11. Lợi nhuận sau thuế chưa phân phối,,73.741.830.787,7.821.127.120,,,73741830787.0,7821127120.0
421a,417 > 421a,421a,- LNST chưa phân phối lũy kế đến cuối kỳ trước,,165.002.199.717,73.245.226.297,,,165002199717.0,73245226297.0
421b,421b,421b,- LNST chưa phân phối kỳ này,,,,,,,
422,422,422,12. Nguồn vốn đầu tư XDCB,,,,,,,
430,430,430,II. Nguồn kinh phí và quỹ khác,,,,,,,
431,431,431,1. Nguồn kinh phí,,,,,,,
432,432,432,2. Nguồn kinh phí đã hình thành TSCĐ,,,,,,,
