row_label_raw,row_label_full,01/01/2016,col_1,An Giang,Đồng Tháp,Địa bàn khác,Đơn vị tính: VND Tổng cộng,numeric__col_1,numeric__An Giang,numeric__Đồng Tháp,numeric__Địa bàn khác,numeric__Đơn vị tính: VND Tổng cộng
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,,993.239.411.300,403.767.859.671,629.645.120.158,2.026.652.391.129,,993239411300.0,403767859671.0,629645120158.0,2026652391129.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,1.762.609.551.601,,,,,1762609551601.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,993.239.411.300,403.767.859.671,629.645.120.158,3.789.261.942.730,,993239411300.0,403767859671.0,629645120158.0,3789261942730.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,,456.580.590.612,,,456.580.590.612,,456580590612.0,,,456580590612.0
Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,,,,,972.446.854.968,,,,,972446854968.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,456.580.590.612,-,-,1.429.027.445.580,,456580590612.0,,,1429027445580.0
b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Bất động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng cộng,,,,,
Năm nay,Năm nay,Năm nay,,,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,359.752.720.447,271.559.790.544,311.885.917.676,387.520.335.239,1.330.718.763.906,359752720447.0,271559790544.0,311885917676.0,387520335239.0,1330718763906.0
Tài sản bộ phận,Năm nay > Tài sản bộ phận,Tài sản bộ phận,3.088.069.421.384,269.537.878.254,826.213.373.885,463.330.021.670,4.647.150.695.193,3088069421384.0,269537878254.0,826213373885.0,463330021670.0,4647150695193.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm nay > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,39.457.007.553,,,,,39457007553.0
Năm trước,Năm trước,Năm trước,,,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,296.710.696.346,148.532.727.273,332.733.569.969,25.543.274.923,803.520.268.511,296710696346.0,148532727273.0,332733569969.0,25543274923.0,803520268511.0
Tài sản bộ phận,Năm trước > Tài sản bộ phận,Tài sản bộ phận,879.888.230.815,63.998.355.280,960.922.871.209,121.842.933.825,2.026.652.391.129,879888230815.0,63998355280.0,960922871209.0,121842933825.0,2026652391129.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm trước > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,19.239.632.359,,,,,19239632359.0
