row_label_raw,row_label_full,col_0,Số cuối nămVND,Số dấu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số dấu năm(Trình bày lại)VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
a. Phải thu các bên thứ ba,a. Phải thu các bên thứ ba,a. Phải thu các bên thứ ba,a. Phải thu các bên thứ ba,a. Phải thu các bên thứ ba,,
Tổng Công ty Hàng không Việt Nam,a. Phải thu các bên thứ ba > Tổng Công ty Hàng không Việt Nam,Tổng Công ty Hàng không Việt Nam,646.495.367.600,572.117.188.804,646495367600.0,572117188804.0
Công ty cổ phần Hàng không VietJet,a. Phải thu các bên thứ ba > Công ty cổ phần Hàng không VietJet,Công ty cổ phần Hàng không VietJet,621.885.666.258,550.884.657.897,621885666258.0,550884657897.0
Công ty cổ phần Hàng không Jetstar Pacific Airlines,a. Phải thu các bên thứ ba > Công ty cổ phần Hàng không Jetstar Pacific Airlines,Công ty cổ phần Hàng không Jetstar Pacific Airlines,138.952.713.004,152.163.811.441,138952713004.0,152163811441.0
Công ty TNHH Hàng không Tre Việt,a. Phải thu các bên thứ ba > Công ty TNHH Hàng không Tre Việt,Công ty TNHH Hàng không Tre Việt,129.918.629.508,100.062.813,129918629508.0,100062813.0
Công ty cổ phần Đầu tư Khai thác Nhà ga Quốc tế Đà Nẵng,a. Phải thu các bên thứ ba > Công ty cổ phần Đầu tư Khai thác Nhà ga Quốc tế Đà Nẵng,Công ty cổ phần Đầu tư Khai thác Nhà ga Quốc tế Đà Nẵng,90.358.908.818,158.156.810.540,90358908818.0,158156810540.0
"Korean Airlines Co., Ltd","a. Phải thu các bên thứ ba > Korean Airlines Co., Ltd","Korean Airlines Co., Ltd",63.138.112.394,55.045.564.272,63138112394.0,55045564272.0
Công ty cổ phần Nhà ga Quốc tế Cam Ranh,a. Phải thu các bên thứ ba > Công ty cổ phần Nhà ga Quốc tế Cam Ranh,Công ty cổ phần Nhà ga Quốc tế Cam Ranh,57.726.239.517,74.018.009.998,57726239517.0,74018009998.0
Airasia Berhad,a. Phải thu các bên thứ ba > Airasia Berhad,Airasia Berhad,49.548.448.220,51.160.428.012,49548448220.0,51160428012.0
"Asiana Airlines, Inc.","a. Phải thu các bên thứ ba > Asiana Airlines, Inc.","Asiana Airlines, Inc.",41.728.656.060,45.650.360.974,41728656060.0,45650360974.0
"Thai Airasia Co., Ltd","a. Phải thu các bên thứ ba > Thai Airasia Co., Ltd","Thai Airasia Co., Ltd",34.441.176.414,31.991.880.109,34441176414.0,31991880109.0
China Southern Airlines,a. Phải thu các bên thứ ba > China Southern Airlines,China Southern Airlines,30.877.658.874,33.148.095.319,30877658874.0,33148095319.0
Công ty cổ phần Hàng không Mê Kông,a. Phải thu các bên thứ ba > Công ty cổ phần Hàng không Mê Kông,Công ty cổ phần Hàng không Mê Kông,25.907.942.217,25.907.942.217,25907942217.0,25907942217.0
Qatar Airways,a. Phải thu các bên thứ ba > Qatar Airways,Qatar Airways,24.001.555.672,35.371.680.930,24001555672.0,35371680930.0
China Airlines,a. Phải thu các bên thứ ba > China Airlines,China Airlines,23.914.298.075,23.308.515.857,23914298075.0,23308515857.0
Công ty TNHH MTV Nhiên liệu Hàng không Việt Nam,a. Phải thu các bên thứ ba > Công ty TNHH MTV Nhiên liệu Hàng không Việt Nam,Công ty TNHH MTV Nhiên liệu Hàng không Việt Nam,24.894.395.367,22.715.330.997,24894395367.0,22715330997.0
Thai Airways,a. Phải thu các bên thứ ba > Thai Airways,Thai Airways,22.492.030.745,32.557.782.282,22492030745.0,32557782282.0
Singapore Airlines,a. Phải thu các bên thứ ba > Singapore Airlines,Singapore Airlines,21.655.886.464,20.868.794.346,21655886464.0,20868794346.0
Emirates Airlines,a. Phải thu các bên thứ ba > Emirates Airlines,Emirates Airlines,15.499.395.145,30.471.462.289,15499395145.0,30471462289.0
Các khoản phải thu khách hàng khác,a. Phải thu các bên thứ ba > Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,509.659.019.347,490.273.501.808,509659019347.0,490273501808.0
b. Phải thu các bên liên quan(Thuyết minh 40),a. Phải thu các bên thứ ba > b. Phải thu các bên liên quan(Thuyết minh 40),b. Phải thu các bên liên quan(Thuyết minh 40),76.660.197.018,84.809.705.760,76660197018.0,84809705760.0
,,,2.649.756.296.717,2.490.721.586.665,2649756296717.0,2490721586665.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Công ty cổ phần Hoàng Long Yến,Dài hạn > Công ty cổ phần Hoàng Long Yến,Công ty cổ phần Hoàng Long Yến,6.300.000.200,6.300.000.200,6300000200.0,6300000200.0
,,,6.300.000.200,6.300.000.200,6300000200.0,6300000200.0
