row_label_raw,row_label_full,Tên công ty,Vốn điều lệ đăng ký Tỷ lệ sở hữu Vốn điều lệ đã góp,Vốn điều lệ đăng ký Tỷ lệ sở hữu Vốn điều lệ đã góp_1,Vốn điều lệ đăng ký Tỷ lệ sở hữu Vốn điều lệ đã góp_2,Giá trị khoản đầu tưSố cuối năm,Số đầu năm(Trình bày lại),numeric__Vốn điều lệ đăng ký Tỷ lệ sở hữu Vốn điều lệ đã góp,numeric__Vốn điều lệ đăng ký Tỷ lệ sở hữu Vốn điều lệ đã góp_1,numeric__Vốn điều lệ đăng ký Tỷ lệ sở hữu Vốn điều lệ đã góp_2,numeric__Giá trị khoản đầu tưSố cuối năm,numeric__Số đầu năm(Trình bày lại)
Tên công ty,Tên công ty,Tên công ty,VND,%,VND,VND,VND,,,,,
Công ty cổ phần Dịch vụHàng không Sân bay TânSon Nhất,Tên công ty > Công ty cổ phần Dịch vụHàng không Sân bay TânSon Nhất,Công ty cổ phần Dịch vụHàng không Sân bay TânSon Nhất,1.334.813.100.000,"49,07",655.042.000.000,1.708.799.207.255,1.699.398.876.476,1334813100000.0,49.07,655042000000.0,1708799207255.0,1699398876476.0
Công ty cổ phần Phục vụMật đất Sài Gòn (i),Tên công ty > Công ty cổ phần Phục vụMật đất Sài Gòn (i),Công ty cổ phần Phục vụMật đất Sài Gòn (i),239.959.520.000,"48,03",115.252.557.456,838.911.687.936,719.127.480.634,239959520000.0,48.03,115252557456.0,838911687936.0,719127480634.0
Công ty cổ phần Dịch vụHàng hóa Hàng không ViệtNam,Tên công ty > Công ty cổ phần Dịch vụHàng hóa Hàng không ViệtNam,Công ty cổ phần Dịch vụHàng hóa Hàng không ViệtNam,250.000.000.000,"20,00",50.000.000.000,107.522.467.721,99.366.861.117,250000000000.0,20.0,50000000000.0,107522467721.0,99366861117.0
Công ty cổ phần Phục vụMật đất Hà Nội,Tên công ty > Công ty cổ phần Phục vụMật đất Hà Nội,Công ty cổ phần Phục vụMật đất Hà Nội,150.000.000.000,"20,00",30.000.000.000,61.692.260.968,47.578.546.210,150000000000.0,20.0,30000000000.0,61692260968.0,47578546210.0
Công ty TNHH Dịch vụ bảodường máy bay Cảng Hàngkhông Miền Nam (ii),Tên công ty > Công ty TNHH Dịch vụ bảodường máy bay Cảng Hàngkhông Miền Nam (ii),Công ty TNHH Dịch vụ bảodường máy bay Cảng Hàngkhông Miền Nam (ii),30.000.000.000,"51,00",15.300.000.000,37.928.486.230,34.085.248.130,30000000000.0,51.0,15300000000.0,37928486230.0,34085248130.0
Công ty cổ phần Vận tảiHàng không Miền Nam,Tên công ty > Công ty cổ phần Vận tảiHàng không Miền Nam,Công ty cổ phần Vận tảiHàng không Miền Nam,43.500.000.000,"30,00",13.050.000.000,15.990.598.743,15.732.134.520,43500000000.0,30.0,13050000000.0,15990598743.0,15732134520.0
Công ty cổ phần Thươngmại Hàng không Miền Nam,Tên công ty > Công ty cổ phần Thươngmại Hàng không Miền Nam,Công ty cổ phần Thươngmại Hàng không Miền Nam,16.694.600.000,"29,53",4.930.000.000,7.081.783.262,7.368.376.718,16694600000.0,29.53,4930000000.0,7081783262.0,7368376718.0
,,,,,,2.777.926.492.115,2.622.657.523.805,,,,2777926492115.0,2622657523805.0
