row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,27,18.364.352.880.477,16.141.224.773.371,1.0,27.0,18364352880477.0,16141224773371.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,27,35.801.143.529,18.064.056.201,2.0,27.0,35801143529.0,18064056201.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,27,18.328.551.736.948,16.123.160.717.170,10.0,27.0,18328551736948.0,16123160717170.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,28,8.994.924.115.637,8.295.605.070.971,11.0,28.0,8994924115637.0,8295605070971.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,9.333.627.621.311,7.827.555.646.199,20.0,,9333627621311.0,7827555646199.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,30,1.919.789.862.817,1.363.440.280.033,21.0,30.0,1919789862817.0,1363440280033.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,31,103.842.775.190,755.865.128.377,22.0,31.0,103842775190.0,755865128377.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,96.418.310.786,95.084.582.355,23.0,,96418310786.0,95084582355.0
8. Phần lãi trong công ty liên doanh liên kết,8. Phần lãi trong công ty liên doanh liên kết,8. Phần lãi trong công ty liên doanh liên kết,24,16,382.862.566.873,335.929.802.184,24.0,16.0,382862566873.0,335929802184.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,32,379.134.439.315,340.121.610.771,25.0,32.0,379134439315.0,340121610771.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,33,1.006.436.658.672,878.228.923.176,26.0,33.0,1006436658672.0,878228923176.0
11. Lợi nhuận thuần từ hoạt động kính doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kính doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kính doanh (30=20+(21-22)+24-(25+26)),30,,10.146.866.177.824,7.552.710.066.092,30.0,,10146866177824.0,7552710066092.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,34,9.838.649.076,86.011.587.184,31.0,34.0,9838649076.0,86011587184.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,35,917.405.921,20.546.032.891,32.0,35.0,917405921.0,20546032891.0
14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),40,,8.921.243.155,65.465.554.293,40.0,,8921243155.0,65465554293.0
15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,10.155.787.420.979,7.618.175.620.385,50.0,,10155787420979.0,7618175620385.0
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,36,1.934.645.887.712,1.451.817.167.249,51.0,36.0,1934645887712.0,1451817167249.0
17. Chi phí/(thu nhập) thuế thu nhập doanh nghiệp hoàn lại,17. Chi phí/(thu nhập) thuế thu nhập doanh nghiệp hoàn lại,17. Chi phí/(thu nhập) thuế thu nhập doanh nghiệp hoàn lại,52,,6.984.611.654,(18.995.347.574),52.0,,6984611654.0,-18995347574.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,8.214.156.921.613,6.185.353.800.710,60.0,,8214156921613.0,6185353800710.0
Phân bổ cho:- Cổ đông của Công ty mẹ,Phân bổ cho:- Cổ đông của Công ty mẹ,Phân bổ cho:- Cổ đông của Công ty mẹ,61,,8.201.155.033.601,6.172.732.606.662,61.0,,8201155033601.0,6172732606662.0
- Lợi ích của cổ đông không kiểm soát,- Lợi ích của cổ đông không kiểm soát,- Lợi ích của cổ đông không kiểm soát,62,25,13.001.888.012,12.621.194.048,62.0,25.0,13001888012.0,12621194048.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,37,3.450,2.518,70.0,37.0,3450.0,2518.0
